,strSubID,strHourAvg,strValueAvg
0,12118,--,--
1,12119,--,--
2,12120,--,--
3,12494,80,80
4,18020,84,84
5,2,65,65
6,364,88,88
7,368,79,79
8,12493,91,91
9,12495,89,89
10,12572,83,83
11,15040,75,75
12,15041,80,80
13,15042,81,81
14,15043,75,75
15,15044,89,89
16,15045,76,76
17,15046,80,80
18,15047,80,80
19,15048,80,80
20,5,68,68
21,363,89,89
22,15049,85,85
23,15050,82,82
24,15058,83,83
25,15059,80,80
26,15060,79,79
27,15061,80,80
28,15062,78,78
29,15063,72,72
30,15064,84,84
31,15065,84,84
32,15066,87,87
33,15067,80,80
34,15068,83,83
35,15069,90,90
36,15070,85,85
37,15071,90,90
38,4,78,78
39,7,71,71
40,12492,87,87
41,12792,87,87
42,15072,79,79
43,15073,79,79
44,15074,79,79
45,15075,79,79
46,15076,80,80
47,15077,83,83
48,15078,80,80
49,15079,81,81
50,15080,80,80
51,15081,82,82
52,15082,79,79
53,15083,83,83
54,1,62,62
55,362,78,78
56,15084,74,74
57,15085,75,75
58,15086,72,72
59,15087,72,72
60,15088,76,76
61,15089,72,72
62,15090,80,80
63,15095,74,74
64,15096,78,78
65,15097,79,79
66,15099,86,86
67,18821,76,76
68,18966,73,73
69,3,62,62
70,366,86,86
71,12573,85,85
72,15100,75,75
73,15101,75,75
74,15102,79,79
75,15103,85,85
76,15104,84,84
77,15105,86,86
78,15106,84,84
79,15107,79,79
80,15108,87,87
81,16503,82,82
82,16504,80,80
83,8,69,69
84,12672,85,85
85,15109,86,86
86,15110,83,83
87,15111,87,87
88,15112,90,90
89,15113,87,87
90,15114,85,85
91,15115,85,85
92,15116,78,78
93,6,67,67
94,365,90,90
95,15166,84,84
96,15167,85,85
97,15169,86,86
98,17700,88,88
99,12110,64,64
100,12111,53,53
101,12112,61,61
102,12113,62,62
103,12117,66,66
104,12153,54,54
105,12154,55,55
106,12155,--,--
107,13271,64,64
108,13272,52,52
109,13275,57,57
110,13276,57,57
111,13277,60,60
112,13278,65,65
113,12115,52,52
114,12116,55,55
115,12152,67,67
116,13273,53,53
117,13274,57,57
118,15098,78,78
119,15146,82,82
120,15147,87,87
121,15148,82,82
122,12578,89,89
123,12579,85,85
124,15140,85,85
125,15141,88,88
126,15142,92,92
127,15143,100,100
128,15144,91,91
129,15145,92,92
130,12574,80,80
131,15149,84,84
132,15150,83,83
133,15151,89,89
134,15152,84,84
135,16500,82,82
136,12576,84,84
137,12577,86,86
138,15153,88,88
139,15154,86,86
140,15155,85,85
141,15156,91,91
142,15157,87,87
143,15160,85,85
144,15161,85,85
145,15162,87,87
146,15163,95,95
147,15164,96,96
148,15165,86,86
149,15055,94,94
150,15056,94,94
151,15057,96,96
152,9929,78,78
153,9930,78,78
154,15117,76,76
155,15118,74,74
156,15119,88,88
157,15120,85,85
158,15121,86,86
159,15122,90,90
160,15129,79,79
161,15130,80,80
162,15131,78,78
163,15132,78,78
164,15133,94,94
165,15134,86,86
166,15135,86,86
167,15136,78,78
168,15137,82,82
169,15138,87,87
170,15139,85,85
