,strSubID,strHourAvg,strValueAvg
0,371,2,2
1,12118,--,--
2,12119,--,--
3,12120,--,--
4,12494,2,2
5,2,2,2
6,364,3,3
7,368,3,3
8,12493,5,5
9,12495,4,4
10,12572,6,6
11,15040,2,2
12,15041,3,3
13,15042,3,3
14,15043,3,3
15,15044,3,3
16,15045,2,2
17,15046,3,3
18,15047,2,2
19,15048,4,4
20,5,2,2
21,363,6,6
22,15049,4,4
23,15050,2,2
24,15058,3,3
25,15059,4,4
26,15060,1,1
27,15061,4,4
28,15062,4,4
29,15063,2,2
30,15064,4,4
31,15065,3,3
32,15066,1,1
33,15067,4,4
34,15068,2,2
35,15069,5,5
36,15070,3,3
37,15071,2,2
38,7,2,2
39,12492,2,2
40,12792,2,2
41,15072,2,2
42,15073,3,3
43,15074,4,4
44,15075,4,4
45,15076,5,5
46,15077,4,4
47,15078,3,3
48,15079,2,2
49,15080,1,1
50,15081,1,1
51,15082,2,2
52,15083,2,2
53,1,1,1
54,15084,1,1
55,15085,2,2
56,15086,1,1
57,15087,1,1
58,15088,1,1
59,15089,1,1
60,15090,1,1
61,15095,1,1
62,15097,1,1
63,15099,1,1
64,18821,1,1
65,18966,2,2
66,3,2,2
67,366,2,2
68,12573,2,2
69,15100,2,2
70,15101,2,2
71,15102,2,2
72,15103,2,2
73,15104,1,1
74,15105,2,2
75,15106,3,3
76,15107,2,2
77,15108,2,2
78,16503,2,2
79,16504,2,2
80,8,1,1
81,12672,3,3
82,15109,3,3
83,15110,3,3
84,15111,0,0
85,15112,-1,-1
86,15113,1,1
87,15114,3,3
88,15115,4,4
89,15116,3,3
90,6,2,2
91,365,4,4
92,15166,4,4
93,15167,1,1
94,15169,3,3
95,17700,2,2
96,12110,1,1
97,12111,1,1
98,12112,2,2
99,12113,2,2
100,12117,1,1
101,12153,3,3
102,12154,3,3
103,13271,2,2
104,13272,2,2
105,13275,1,1
106,13276,2,2
107,13277,0,0
108,13278,2,2
109,12115,2,2
110,12116,2,2
111,12152,2,2
112,13273,2,2
113,13274,2,2
114,15098,0,0
115,15146,2,2
116,15147,3,3
117,15148,1,1
118,12578,0,0
119,12579,0,0
120,15140,0,0
121,15141,0,0
122,15142,1,1
123,15143,-1,-1
124,15144,0,0
125,15145,4,4
126,12574,1,1
127,12575,4,4
128,15149,2,2
129,15150,1,1
130,15151,1,1
131,15152,1,1
132,16500,2,2
133,12576,4,4
134,15153,1,1
135,15154,2,2
136,15155,2,2
137,15156,1,1
138,15157,1,1
139,15160,1,1
140,15161,1,1
141,15162,2,2
142,15163,1,1
143,15164,1,1
144,15165,1,1
145,15055,3,3
146,15056,3,3
147,15057,3,3
148,9929,4,4
149,9930,4,4
150,15117,2,2
151,15118,4,4
152,15119,1,1
153,15120,2,2
154,15121,2,2
155,15122,2,2
156,15129,2,2
157,15130,2,2
158,15131,2,2
159,15132,3,3
160,15133,1,1
161,15134,1,1
162,15135,2,2
163,15136,1,1
164,15137,1,1
165,15138,1,1
166,15139,3,3
