,strSubID,strHourAvg,strValueAvg
0,371,6,6
1,12118,--,--
2,12119,--,--
3,12120,--,--
4,12494,5,5
5,18020,0,0
6,2,0,0
7,364,0,0
8,368,1,1
9,12493,1,1
10,12495,0,0
11,12572,1,1
12,15040,1,1
13,15041,2,2
14,15042,1,1
15,15043,2,2
16,15044,1,1
17,15045,1,1
18,15046,2,2
19,15047,2,2
20,15048,1,1
21,5,1,1
22,363,2,2
23,15049,1,1
24,15050,2,2
25,15058,1,1
26,15059,1,1
27,15060,2,2
28,15061,1,1
29,15062,1,1
30,15063,1,1
31,15064,1,1
32,15065,0,0
33,15066,2,2
34,15067,2,2
35,15068,4,4
36,15069,1,1
37,15070,2,2
38,15071,1,1
39,7,1,1
40,12492,2,2
41,12792,2,2
42,15072,2,2
43,15073,1,1
44,15074,2,2
45,15075,1,1
46,15076,1,1
47,15077,0,0
48,15078,1,1
49,15079,2,2
50,15080,0,0
51,15081,3,3
52,15082,1,1
53,15083,2,2
54,1,2,2
55,15084,2,2
56,15085,1,1
57,15086,1,1
58,15087,2,2
59,15088,1,1
60,15089,2,2
61,15090,2,2
62,15095,1,1
63,15097,1,1
64,15099,1,1
65,18821,2,2
66,18966,1,1
67,3,1,1
68,366,1,1
69,12573,6,6
70,15100,1,1
71,15101,2,2
72,15102,1,1
73,15103,1,1
74,15104,1,1
75,15105,0,0
76,15106,0,0
77,15107,1,1
78,15108,2,2
79,16503,0,0
80,16504,2,2
81,8,2,2
82,12672,3,3
83,15109,1,1
84,15110,2,2
85,15111,3,3
86,15112,4,4
87,15113,2,2
88,15114,2,2
89,15115,2,2
90,15116,3,3
91,6,1,1
92,365,1,1
93,15166,0,0
94,15167,2,2
95,15169,2,2
96,17700,2,2
97,12110,1,1
98,12111,0,0
99,12112,1,1
100,12113,0,0
101,12117,1,1
102,12153,0,0
103,12154,0,0
104,13271,0,0
105,13272,0,0
106,13275,0,--
107,13276,0,0
108,13277,1,1
109,13278,0,0
110,12115,0,0
111,12116,0,0
112,12152,0,0
113,13273,0,0
114,13274,0,0
115,15098,2,2
116,15146,2,2
117,15147,0,0
118,15148,1,1
119,12578,1,1
120,12579,3,3
121,15140,2,2
122,15141,5,5
123,15142,1,1
124,15143,2,2
125,15144,2,2
126,15145,0,0
127,12575,0,0
128,15149,1,1
129,15150,1,1
130,15151,2,2
131,15152,2,2
132,16500,2,2
133,12577,1,1
134,15153,0,0
135,15154,2,2
136,15155,0,0
137,15156,2,2
138,15157,1,1
139,15160,2,2
140,15161,1,1
141,15162,1,1
142,15163,2,2
143,15164,0,0
144,15165,2,2
145,15055,1,1
146,15056,2,2
147,15057,1,1
148,9930,1,1
149,15117,1,1
150,15118,2,2
151,15119,2,2
152,15120,1,1
153,15121,2,2
154,15122,2,2
155,15129,1,1
156,15130,1,1
157,15131,2,2
158,15132,2,2
159,15133,1,1
160,15134,1,1
161,15135,1,1
162,15136,2,2
163,15137,1,1
164,15138,3,3
165,15139,1,1
