,strSubID,strHourAvg,strValueAvg
0,12118,--,--
1,12119,--,--
2,12120,--,--
3,12494,3,3
4,18020,4,4
5,2,6,6
6,364,4,4
7,368,6,6
8,12495,4,4
9,12572,8,8
10,15040,6,6
11,15041,5,5
12,15042,6,6
13,15043,6,6
14,15044,4,4
15,15045,6,6
16,15046,6,6
17,15047,6,6
18,15048,6,6
19,5,5,5
20,363,4,4
21,15049,5,5
22,15050,5,5
23,15058,5,5
24,15059,6,6
25,15060,5,5
26,15061,6,6
27,15062,6,6
28,15063,6,6
29,15064,6,6
30,15065,6,6
31,15066,4,4
32,15067,5,5
33,15068,5,5
34,15069,3,3
35,15070,4,4
36,15071,4,4
37,4,6,6
38,7,5,5
39,12492,3,3
40,12792,4,4
41,15072,6,6
42,15073,6,6
43,15074,6,6
44,15075,6,6
45,15076,6,6
46,15077,5,5
47,15078,6,6
48,15079,4,4
49,15080,5,5
50,15081,3,3
51,15082,5,5
52,15083,4,4
53,1,6,6
54,362,5,5
55,15084,6,6
56,15085,7,7
57,15086,6,6
58,15087,6,6
59,15088,6,6
60,15089,6,6
61,15090,5,5
62,15095,6,6
63,15096,5,5
64,15097,5,5
65,15099,3,3
66,18821,5,5
67,18966,6,6
68,3,6,6
69,366,3,3
70,12573,3,3
71,15100,6,6
72,15101,6,6
73,15102,5,5
74,15103,5,5
75,15104,4,4
76,15105,3,3
77,15106,4,4
78,15107,4,4
79,15108,4,4
80,16503,5,5
81,16504,5,5
82,8,6,6
83,12672,5,5
84,15109,4,4
85,15110,4,4
86,15111,4,4
87,15112,4,4
88,15113,3,3
89,15114,3,3
90,15115,4,4
91,15116,4,4
92,6,5,5
93,365,4,4
94,15166,3,3
95,15167,4,4
96,15169,4,4
97,17700,4,4
98,12110,3,3
99,12111,4,4
100,12112,3,3
101,12113,2,2
102,12114,3,3
103,12117,3,3
104,12153,4,4
105,12154,4,4
106,12155,--,--
107,13271,0,0
108,13272,4,4
109,13275,2,2
110,13276,3,3
111,13277,2,2
112,13278,2,2
113,12115,3,3
114,12116,2,2
115,12152,4,4
116,13273,2,2
117,13274,2,2
118,15098,4,4
119,15146,4,4
120,15147,2,2
121,15148,3,3
122,12578,4,4
123,12579,5,5
124,15140,5,5
125,15141,4,4
126,15142,4,4
127,15143,3,3
128,15144,4,4
129,15145,4,4
130,12574,4,4
131,12575,4,4
132,15149,3,3
133,15150,3,3
134,15151,3,3
135,15152,4,4
136,16500,3,3
137,12576,4,4
138,12577,3,3
139,15153,2,2
140,15154,3,3
141,15155,3,3
142,15156,3,3
143,15157,3,3
144,15160,3,3
145,15161,4,4
146,15162,3,3
147,15163,2,2
148,15164,2,2
149,15165,3,3
150,15055,2,2
151,15056,2,2
152,15057,3,3
153,9929,3,3
154,9930,2,2
155,15117,4,4
156,15118,4,4
157,15119,3,3
158,15120,2,2
159,15121,3,3
160,15122,1,1
161,15129,3,3
162,15130,3,3
163,15131,3,3
164,15132,3,3
165,15133,2,2
166,15134,1,1
167,15135,3,3
168,15136,4,4
169,15137,3,3
170,15138,4,4
171,15139,4,4
