,strSubID,strHourAvg,strValueAvg
0,12118,--,--
1,12119,--,--
2,12120,--,--
3,12494,83,83
4,18020,80,80
5,2,63,63
6,364,85,85
7,368,78,78
8,12493,84,84
9,12495,84,84
10,12572,77,77
11,15040,75,75
12,15041,80,80
13,15042,78,78
14,15043,74,74
15,15044,82,82
16,15045,76,76
17,15046,77,77
18,15047,77,77
19,15048,76,76
20,5,66,66
21,363,86,86
22,15049,82,82
23,15050,81,81
24,15058,80,80
25,15059,77,77
26,15060,77,77
27,15061,77,77
28,15062,76,76
29,15063,73,73
30,15064,78,78
31,15065,78,78
32,15066,85,85
33,15067,78,78
34,15068,82,82
35,15069,87,87
36,15070,88,88
37,15071,88,88
38,4,77,77
39,7,70,70
40,12492,85,85
41,12792,87,87
42,15072,78,78
43,15073,76,76
44,15074,77,77
45,15075,78,78
46,15076,76,76
47,15077,80,80
48,15078,77,77
49,15079,81,81
50,15080,78,78
51,15081,85,85
52,15082,78,78
53,15083,86,86
54,1,62,62
55,362,77,77
56,15084,74,74
57,15085,76,76
58,15086,72,72
59,15087,73,73
60,15088,74,74
61,15089,73,73
62,15090,82,82
63,15095,74,74
64,15096,77,77
65,15097,80,80
66,15099,89,89
67,18821,78,78
68,18966,72,72
69,3,62,62
70,366,83,83
71,12573,82,82
72,15100,74,74
73,15101,75,75
74,15102,76,76
75,15103,78,78
76,15104,79,79
77,15105,87,87
78,15106,83,83
79,15107,80,80
80,15108,86,86
81,16503,79,79
82,16504,80,80
83,8,69,69
84,12672,89,89
85,15109,84,84
86,15110,84,84
87,15111,94,94
88,15112,92,92
89,15113,94,94
90,15114,91,91
91,15115,91,91
92,15116,85,85
93,6,64,64
94,365,84,84
95,15166,88,88
96,15167,87,87
97,15169,90,90
98,17700,86,86
99,12110,226,226
100,12111,54,54
101,12112,62,62
102,12113,81,81
103,12117,67,67
104,12153,62,62
105,12154,65,65
106,12155,--,--
107,13271,190,190
108,13272,52,52
109,13275,59,59
110,13276,59,59
111,13277,62,62
112,13278,255,255
113,12115,54,54
114,12116,64,64
115,12152,72,72
116,13273,56,56
117,13274,63,63
118,15098,81,81
119,15146,84,84
120,15147,91,91
121,15148,88,88
122,12578,90,90
123,12579,87,87
124,15140,87,87
125,15141,91,91
126,15142,95,95
127,15143,100,100
128,15144,94,94
129,15145,95,95
130,12574,85,85
131,12575,85,85
132,15149,89,89
133,15150,90,90
134,15151,96,96
135,15152,92,92
136,16500,87,87
137,12576,90,90
138,15153,97,97
139,15154,88,88
140,15155,93,93
141,15156,94,94
142,15157,95,95
143,15160,91,91
144,15161,90,90
145,15162,94,94
146,15163,96,96
147,15164,99,99
148,15165,89,89
149,15055,95,95
150,15056,95,95
151,15057,96,96
152,9929,88,88
153,9930,88,88
154,15117,81,81
155,15118,83,83
156,15119,94,94
157,15120,88,88
158,15121,88,88
159,15122,95,95
160,15129,83,83
161,15130,83,83
162,15131,85,85
163,15132,84,84
164,15133,90,90
165,15134,87,87
166,15135,89,89
167,15136,83,83
168,15137,85,85
169,15138,91,91
170,15139,86,86
