,strSubID,strHourAvg,strValueAvg
0,371,7,7
1,12118,--,--
2,12119,--,--
3,12120,--,--
4,12494,3,3
5,18020,6,6
6,2,10,10
7,364,9,9
8,368,9,9
9,12493,--,0
10,12495,7,7
11,12572,12,12
12,15040,10,10
13,15041,8,8
14,15042,7,7
15,15043,9,9
16,15044,7,7
17,15045,8,8
18,15046,7,7
19,15047,9,9
20,15048,8,8
21,5,9,9
22,363,8,8
23,15049,8,8
24,15058,9,9
25,15059,8,8
26,15060,9,9
27,15061,8,8
28,15062,9,9
29,15063,10,10
30,15064,8,8
31,15065,6,6
32,15066,11,11
33,15067,9,9
34,15068,8,8
35,15069,6,6
36,15070,6,6
37,15071,5,5
38,4,7,7
39,7,6,6
40,12492,5,5
41,12792,6,6
42,15072,8,8
43,15073,9,9
44,15074,9,9
45,15075,8,8
46,15076,7,7
47,15077,6,6
48,15078,8,8
49,15079,6,6
50,15080,7,7
51,15081,5,5
52,15082,10,10
53,15083,7,7
54,1,10,10
55,362,9,9
56,15084,10,10
57,15085,11,11
58,15086,10,10
59,15087,11,11
60,15088,9,9
61,15089,10,10
62,15090,9,9
63,15095,10,10
64,15096,9,9
65,15097,10,10
66,15099,8,8
67,18821,10,10
68,18966,9,9
69,3,9,9
70,366,8,8
71,15100,10,10
72,15101,9,9
73,15102,9,9
74,15103,9,9
75,15104,7,7
76,15105,6,6
77,15106,8,8
78,15107,9,9
79,15108,5,5
80,16503,9,9
81,16504,9,9
82,8,10,10
83,12672,5,5
84,15109,6,6
85,15110,8,8
86,15111,7,7
87,15112,8,8
88,15113,3,3
89,15114,3,3
90,15115,5,5
91,15116,4,4
92,6,10,10
93,365,7,7
94,15166,8,8
95,15167,5,5
96,15169,4,4
97,17700,8,8
98,12110,5,5
99,12111,4,4
100,12112,6,6
101,12114,5,5
102,12117,4,4
103,12153,4,4
104,12155,--,--
105,13271,-1,-1
106,13272,4,4
107,13275,3,3
108,13276,6,6
109,13277,2,2
110,13278,5,5
111,12115,3,3
112,12116,2,2
113,13273,2,2
114,13274,4,4
115,15098,10,10
116,15146,7,7
117,15147,3,3
118,15148,7,7
119,12154,3,3
120,12578,9,9
121,12579,10,10
122,15140,8,8
123,15141,8,8
124,15142,6,6
125,15143,2,2
126,15144,8,8
127,15145,7,7
128,12574,9,9
129,12575,8,8
130,15149,8,8
131,15150,8,8
132,15151,7,7
133,15152,8,8
134,16500,7,7
135,12576,8,8
136,12577,7,7
137,15153,6,6
138,15154,8,8
139,15155,4,4
140,15156,8,8
141,15157,6,6
142,15160,8,8
143,15161,8,8
144,15162,6,6
145,15164,4,4
146,15165,9,9
147,15055,2,2
148,15056,4,4
149,15057,4,4
150,9929,6,6
151,9930,4,4
152,15117,7,7
153,15118,8,8
154,15119,5,5
155,15120,6,6
156,15121,7,7
157,15122,2,2
158,15129,6,6
159,15130,8,8
160,15131,6,6
161,15133,8,8
162,15134,3,3
163,15135,6,6
164,15136,7,7
165,15137,6,6
166,15138,5,5
167,15139,5,5
