,strSubID,strHourAvg,strValueAvg
0,371,45,45
1,12118,--,--
2,12119,--,--
3,12120,--,--
4,12494,71,71
5,18020,41,41
6,2,40,40
7,364,49,49
8,368,45,45
9,12493,--,0
10,12495,43,43
11,12572,44,44
12,15040,48,48
13,15041,43,43
14,15042,47,47
15,15043,47,47
16,15044,52,52
17,15045,48,48
18,15046,48,48
19,15047,51,51
20,15048,46,46
21,5,40,40
22,363,39,39
23,15049,46,46
24,15050,47,47
25,15058,43,43
26,15059,43,43
27,15060,46,46
28,15061,43,43
29,15062,46,46
30,15063,47,47
31,15064,44,44
32,15065,46,46
33,15066,51,51
34,15067,42,42
35,15068,45,45
36,15069,40,40
37,15070,42,42
38,15071,45,45
39,7,44,44
40,12492,44,44
41,12792,48,48
42,15072,46,46
43,15073,45,45
44,15074,44,44
45,15075,40,40
46,15076,39,39
47,15077,43,43
48,15078,42,42
49,15079,42,42
50,15080,49,49
51,15081,46,46
52,15082,45,45
53,15083,52,52
54,1,41,41
55,362,48,48
56,15084,51,51
57,15085,53,53
58,15086,51,51
59,15087,51,51
60,15088,51,51
61,15089,49,49
62,15090,49,49
63,15095,54,54
64,15096,48,48
65,15097,53,53
66,15099,57,57
67,18821,52,52
68,18966,52,52
69,3,43,43
70,366,50,50
71,12573,54,54
72,15100,45,45
73,15101,48,48
74,15102,50,50
75,15103,48,48
76,15104,56,56
77,15105,53,53
78,15106,55,55
79,15107,58,58
80,15108,65,65
81,16503,55,55
82,16504,54,54
83,8,47,47
84,12672,48,48
85,15109,52,52
86,15110,40,40
87,15111,60,60
88,15112,60,60
89,15113,55,55
90,15114,50,50
91,15115,38,38
92,15116,41,41
93,6,44,44
94,365,47,47
95,15166,56,56
96,15167,66,66
97,15169,46,46
98,17700,55,55
99,12110,68,68
100,12111,52,52
101,12112,53,53
102,12113,65,65
103,12114,43,43
104,12117,55,55
105,12153,56,56
106,12155,--,--
107,13271,53,53
108,13272,50,50
109,13275,52,52
110,13276,52,52
111,13277,64,64
112,13278,68,68
113,12115,40,40
114,12116,67,67
115,12152,--,--
116,13273,58,58
117,13274,50,50
118,15098,60,60
119,15146,47,47
120,15147,50,50
121,15148,40,40
122,12154,57,57
123,12578,53,53
124,12579,50,50
125,15140,46,46
126,15141,43,43
127,15142,43,43
128,15143,52,52
129,15144,47,47
130,15145,44,44
131,12574,49,49
132,15149,37,37
133,15150,39,39
134,15151,45,45
135,15152,49,49
136,16500,42,42
137,12576,29,29
138,12577,28,28
139,15153,36,36
140,15154,27,27
141,15155,27,27
142,15156,26,26
143,15157,32,32
144,15160,30,30
145,15161,46,46
146,15162,29,29
147,15163,21,21
148,15164,22,22
149,15165,26,26
150,15055,39,39
151,15056,59,59
152,15057,42,42
153,9929,62,62
154,9930,62,62
155,15117,68,68
156,15118,68,68
157,15119,68,68
158,15120,59,59
159,15121,60,60
160,15122,75,75
161,15129,75,75
162,15130,68,68
163,15131,76,76
164,15132,62,62
165,15133,57,57
166,15134,51,51
167,15135,71,71
168,15136,72,72
169,15137,66,66
170,15138,62,62
171,15139,60,60
