,strSubID,strHourAvg,strValueAvg
0,371,38,38
1,12118,--,--
2,12119,--,--
3,12120,--,--
4,12494,63,63
5,18020,38,38
6,2,36,36
7,364,42,42
8,368,40,40
9,12493,--,0
10,12495,34,34
11,12572,39,39
12,15040,42,42
13,15041,36,36
14,15042,40,40
15,15043,41,41
16,15044,45,45
17,15045,43,43
18,15046,43,43
19,15047,44,44
20,15048,42,42
21,5,32,32
22,363,31,31
23,15049,40,40
24,15050,40,40
25,15058,35,35
26,15059,36,36
27,15060,38,38
28,15061,36,36
29,15062,40,40
30,15063,41,41
31,15064,38,38
32,15065,38,38
33,15066,42,42
34,15067,36,36
35,15068,39,39
36,15069,35,35
37,15070,37,37
38,15071,38,38
39,4,40,40
40,7,37,37
41,12492,38,38
42,12792,36,36
43,15072,38,38
44,15073,40,40
45,15074,38,38
46,15075,35,35
47,15076,34,34
48,15077,36,36
49,15078,37,37
50,15079,35,35
51,15080,43,43
52,15081,40,40
53,15082,39,39
54,15083,39,39
55,1,36,36
56,362,44,44
57,15084,45,45
58,15085,47,47
59,15086,45,45
60,15087,46,46
61,15088,47,47
62,15089,45,45
63,15090,43,43
64,15095,49,49
65,15096,44,44
66,15097,50,50
67,15099,46,46
68,18821,46,46
69,18966,46,46
70,3,40,40
71,366,43,43
72,12573,44,44
73,15100,40,40
74,15101,46,46
75,15102,48,48
76,15103,44,44
77,15104,49,49
78,15105,45,45
79,15106,53,53
80,15107,56,56
81,15108,61,61
82,16503,53,53
83,16504,51,51
84,8,36,36
85,12672,41,41
86,15109,40,40
87,15110,38,38
88,15111,40,40
89,15112,44,44
90,15113,41,41
91,15114,39,39
92,15115,31,31
93,15116,33,33
94,6,40,40
95,365,40,40
96,15166,48,48
97,15167,59,59
98,15169,40,40
99,17700,46,46
100,12110,64,64
101,12111,50,50
102,12112,45,45
103,12113,57,57
104,12117,42,42
105,12153,51,51
106,12155,--,--
107,13271,42,42
108,13272,47,47
109,13275,48,48
110,13276,40,40
111,13277,62,62
112,13278,47,47
113,12115,38,38
114,12116,64,64
115,12152,--,--
116,13273,55,55
117,13274,52,52
118,15098,51,51
119,15146,38,38
120,15147,40,40
121,15148,37,37
122,12154,52,52
123,12578,40,40
124,12579,38,38
125,15140,35,35
126,15141,30,30
127,15142,33,33
128,15143,42,42
129,15144,36,36
130,15145,39,39
131,12574,39,39
132,15149,34,34
133,15150,34,34
134,15151,38,38
135,15152,36,36
136,16500,37,37
137,12576,27,27
138,12577,25,25
139,15153,26,26
140,15154,27,27
141,15155,27,27
142,15156,24,24
143,15157,28,28
144,15160,27,27
145,15161,31,31
146,15162,28,28
147,15163,21,21
148,15164,22,22
149,15165,26,26
150,15055,32,32
151,15056,36,36
152,15057,30,30
153,9929,56,56
154,9930,59,59
155,15117,63,63
156,15118,64,64
157,15119,66,66
158,15120,53,53
159,15121,53,53
160,15122,71,71
161,15129,69,69
162,15130,63,63
163,15131,68,68
164,15132,58,58
165,15133,52,52
166,15134,46,46
167,15135,60,60
168,15136,59,59
169,15137,58,58
170,15138,54,54
171,15139,50,50
