,strSubID,strHourAvg,strValueAvg
0,371,70,70
1,12118,--,--
2,12119,--,--
3,12120,--,--
4,12494,84,84
5,18020,76,76
6,364,63,63
7,368,62,62
8,12495,67,67
9,12572,79,79
10,15040,57,57
11,15041,55,55
12,15042,67,67
13,15043,55,55
14,15044,68,68
15,15045,62,62
16,15046,65,65
17,15047,57,57
18,15048,58,58
19,5,47,47
20,363,67,67
21,15049,63,63
22,15050,62,62
23,15058,56,56
24,15059,60,60
25,15060,54,54
26,15061,60,60
27,15062,60,60
28,15063,56,56
29,15064,69,69
30,15065,58,58
31,15066,65,65
32,15067,57,57
33,15068,59,59
34,15069,70,70
35,15070,84,84
36,15071,90,90
37,4,60,60
38,7,74,74
39,12492,86,86
40,12792,86,86
41,15072,60,60
42,15073,61,61
43,15074,60,60
44,15075,63,63
45,15076,62,62
46,15077,63,63
47,15078,59,59
48,15079,78,78
49,15080,66,66
50,15081,86,86
51,15082,78,78
52,15083,78,78
53,1,52,52
54,362,69,69
55,15084,58,58
56,15085,62,62
57,15086,60,60
58,15087,61,61
59,15088,64,64
60,15089,59,59
61,15090,73,73
62,15095,71,71
63,15096,69,69
64,15097,82,82
65,15099,78,78
66,18821,77,77
67,18966,69,69
68,3,52,52
69,366,84,84
70,12573,64,64
71,15100,58,58
72,15101,64,64
73,15102,69,69
74,15103,76,76
75,15104,80,80
76,15105,86,86
77,15106,84,84
78,15107,76,76
79,15108,89,89
80,16503,76,76
81,16504,72,72
82,8,56,56
83,12672,83,83
84,15109,84,84
85,15110,60,60
86,15111,90,90
87,15112,78,78
88,15113,71,71
89,15114,60,60
90,15115,61,61
91,15116,59,59
92,6,46,46
93,365,71,71
94,15166,81,81
95,15167,82,82
96,15169,77,77
97,17700,77,77
98,12110,167,167
99,12111,57,57
100,12112,58,58
101,12113,64,64
102,12117,59,59
103,12153,58,58
104,12154,66,66
105,12155,--,--
106,13271,74,74
107,13272,56,56
108,13275,50,50
109,13276,50,50
110,13277,60,60
111,13278,224,224
112,12115,56,56
113,12116,66,66
114,12152,68,68
115,13273,62,62
116,13274,61,61
117,15098,79,79
118,15146,77,77
119,15147,96,96
120,15148,67,67
121,12578,90,90
122,12579,90,90
123,15140,90,90
124,15141,88,88
125,15142,87,87
126,15143,90,90
127,15144,65,65
128,15145,63,63
129,12574,61,61
130,12575,71,71
131,15149,67,67
132,15150,68,68
133,15151,71,71
134,15152,62,62
135,16500,75,75
136,12576,57,57
137,12577,49,49
138,15154,58,58
139,15155,59,59
140,15156,55,55
141,15157,66,66
142,15160,59,59
143,15161,62,62
144,15162,61,61
145,15163,57,57
146,15164,68,68
147,15165,56,56
148,15055,76,76
149,15056,78,78
150,15057,84,84
151,9929,86,86
152,9930,91,91
153,15117,78,78
154,15118,81,81
155,15119,88,88
156,15120,73,73
157,15121,84,84
158,15122,96,96
159,15129,81,81
160,15130,75,75
161,15131,87,87
162,15132,79,79
163,15133,71,71
164,15134,76,76
165,15135,90,90
166,15136,83,83
167,15137,76,76
168,15138,70,70
169,15139,88,88
