,strSubID,strHourAvg,strValueAvg
0,371,-8,-8
1,12118,--,--
2,12119,--,--
3,12120,--,--
4,12494,-2,-2
5,18020,2,2
6,2,-1,-1
7,364,-2,-2
8,368,0,0
9,12493,1,1
10,12495,-2,-2
11,12572,1,1
12,15040,0,0
13,15041,2,2
14,15042,2,2
15,15043,-2,-2
16,15044,-1,-1
17,15045,0,0
18,15046,1,1
19,15047,-1,-1
20,15048,-2,-2
21,5,-3,-3
22,363,2,2
23,15049,1,1
24,15050,-1,-1
25,15058,0,0
26,15059,1,1
27,15060,-2,-2
28,15061,0,0
29,15062,2,2
30,15063,-3,-3
31,15064,3,3
32,15065,-1,-1
33,15066,-3,-3
34,15067,-1,-1
35,15068,-2,-2
36,15069,0,0
37,15070,-2,-2
38,15071,-2,-2
39,7,-3,-3
40,12492,-1,-1
41,12792,1,1
42,15072,-4,-4
43,15073,-3,-3
44,15074,1,1
45,15075,-1,-1
46,15076,-2,-2
47,15077,2,2
48,15078,3,3
49,15079,-1,-1
50,15080,-2,-2
51,15081,-3,-3
52,15082,-1,-1
53,15083,1,1
54,1,-3,-3
55,15084,-2,-2
56,15085,-2,-2
57,15086,-3,-3
58,15087,-3,-3
59,15088,-3,-3
60,15089,-3,-3
61,15090,-4,-4
62,15095,-3,-3
63,15097,-3,-3
64,15099,-4,-4
65,18821,-3,-3
66,18966,-3,-3
67,20300,--,--
68,3,-2,-2
69,366,0,0
70,12573,-3,-3
71,15100,-2,-2
72,15101,-1,-1
73,15102,-1,-1
74,15103,-1,-1
75,15104,-2,-2
76,15105,-1,-1
77,15106,-1,-1
78,15107,-2,-2
79,15108,-3,-3
80,16503,-1,-1
81,16504,-2,-2
82,8,0,0
83,12672,0,0
84,15109,-1,-1
85,15110,2,2
86,15111,-4,-4
87,15112,-3,-3
88,15113,-4,-4
89,15114,3,3
90,15115,0,0
91,15116,-5,-5
92,6,-2,-2
93,365,-1,-1
94,15166,-1,-1
95,15167,-3,-3
96,15169,-2,-2
97,17700,-3,-3
98,12110,-7,-7
99,12111,-6,-6
100,12112,-7,-7
101,12113,-6,-6
102,12114,-7,-7
103,12117,-6,-6
104,12153,-4,-4
105,12154,-4,-4
106,13271,-6,-6
107,13272,-7,-7
108,13275,-6,-6
109,13276,-7,-7
110,13277,-8,-8
111,13278,-6,-6
112,12115,-7,-7
113,12116,-7,-7
114,13273,-7,-7
115,13274,-7,-7
116,15098,-4,-4
117,15146,-1,-1
118,15147,-2,-2
119,15148,-3,-3
120,12578,4,4
121,12579,2,2
122,15140,1,1
123,15141,-1,-1
124,15142,2,2
125,15143,-1,-1
126,15144,-5,-5
127,15145,0,0
128,12575,0,0
129,15149,-3,-3
130,15150,-4,-4
131,15151,-4,-4
132,15152,-4,-4
133,16500,-2,-2
134,12576,-1,-1
135,12577,-2,-2
136,15153,-4,-4
137,15154,-4,-4
138,15155,-4,-4
139,15156,-4,-4
140,15157,-4,-4
141,15160,-4,-4
142,15161,-4,-4
143,15162,-4,-4
144,15163,-5,-5
145,15164,-4,-4
146,15165,-3,-3
147,15055,-4,-4
148,15056,-4,-4
149,15057,-3,-3
150,9930,-1,-1
151,15117,-3,-3
152,15118,-3,-3
153,15119,-4,-4
154,15120,-4,-4
155,15121,-4,-4
156,15122,-4,-4
157,15129,-4,-4
158,15130,-4,-4
159,15131,-4,-4
160,15132,-3,-3
161,15133,-4,-4
162,15134,-4,-4
163,15135,-3,-3
164,15136,-3,-3
165,15137,-3,-3
166,15138,-4,-4
167,15139,-1,-1
