,strSubID,strHourAvg,strValueAvg
0,371,41,41
1,12118,--,--
2,12119,--,--
3,12120,--,--
4,12494,28,28
5,18020,28,28
6,2,21,21
7,364,30,30
8,368,28,28
9,12493,--,0
10,12495,30,30
11,12572,28,28
12,15040,27,27
13,15041,28,28
14,15042,28,28
15,15043,26,26
16,15044,28,28
17,15045,28,28
18,15046,29,29
19,15047,27,27
20,15048,29,29
21,5,23,23
22,363,30,30
23,15049,31,31
24,15050,29,29
25,15058,28,28
26,15059,29,29
27,15060,22,22
28,15061,29,29
29,15062,28,28
30,15063,22,22
31,15064,29,29
32,15065,28,28
33,15066,27,27
34,15067,27,27
35,15068,28,28
36,15069,28,28
37,15070,28,28
38,15071,30,30
39,4,29,29
40,7,24,24
41,12492,32,32
42,12792,31,31
43,15072,29,29
44,15073,28,28
45,15074,28,28
46,15075,28,28
47,15076,28,28
48,15077,30,30
49,15078,29,29
50,15079,28,28
51,15080,30,30
52,15081,30,30
53,15082,28,28
54,15083,29,29
55,1,21,21
56,362,28,28
57,15084,25,25
58,15085,22,22
59,15086,26,26
60,15087,26,26
61,15088,27,27
62,15089,26,26
63,15090,22,22
64,15095,27,27
65,15096,28,28
66,15097,25,25
67,15099,30,30
68,18821,26,26
69,18966,26,26
70,3,22,22
71,366,26,26
72,12573,27,27
73,15100,26,26
74,15101,25,25
75,15102,26,26
76,15103,26,26
77,15104,27,27
78,15105,30,30
79,15106,28,28
80,15107,28,28
81,15108,29,29
82,16503,25,25
83,16504,25,25
84,8,23,23
85,12672,30,30
86,15109,30,30
87,15110,32,32
88,15111,25,25
89,15112,25,25
90,15113,28,28
91,15114,34,34
92,15115,34,34
93,15116,30,30
94,6,20,20
95,365,29,29
96,15166,27,27
97,15167,26,26
98,15169,29,29
99,17700,27,27
100,12110,255,255
101,12111,25,25
102,12112,22,22
103,12113,20,20
104,12117,29,29
105,12153,26,26
106,12155,--,--
107,13271,20,20
108,13272,24,24
109,13275,27,27
110,13276,24,24
111,13277,21,21
112,13278,24,24
113,12115,21,21
114,12116,21,21
115,12152,--,--
116,13273,21,21
117,13274,22,22
118,15098,27,27
119,15146,30,30
120,15148,32,32
121,12154,32,32
122,12578,36,36
123,12579,34,34
124,15140,35,35
125,15141,30,30
126,15142,32,32
127,15143,31,31
128,15144,29,29
129,15145,35,35
130,12574,29,29
131,12575,30,30
132,15149,33,33
133,15150,30,30
134,15151,26,26
135,15152,29,29
136,16500,28,28
137,12576,34,34
138,12577,34,34
139,15153,30,30
140,15154,34,34
141,15155,31,31
142,15156,29,29
143,15157,31,31
144,15160,30,30
145,15161,31,31
146,15162,34,34
147,15163,31,31
148,15164,29,29
149,15165,30,30
150,15055,30,30
151,15056,32,32
152,15057,26,26
153,9929,32,32
154,9930,31,31
155,15117,27,27
156,15118,28,28
157,15119,27,27
158,15120,27,27
159,15121,30,30
160,15122,31,31
161,15129,26,26
162,15130,28,28
163,15131,27,27
164,15132,29,29
165,15133,25,25
166,15134,29,29
167,15135,30,30
168,15136,28,28
169,15137,30,30
170,15138,31,31
171,15139,31,31
