,strSubID,strHourAvg,strValueAvg
0,371,-3,-3
1,12118,--,--
2,12119,--,--
3,12120,--,--
4,12494,4,4
5,18020,2,2
6,2,4,4
7,364,3,3
8,368,4,4
9,12493,3,3
10,12495,0,0
11,12572,6,6
12,15040,4,4
13,15041,4,4
14,15042,4,4
15,15043,5,5
16,15044,2,2
17,15045,4,4
18,15046,3,3
19,15047,4,4
20,15048,4,4
21,5,4,4
22,363,2,2
23,15049,4,4
24,15050,3,3
25,15058,2,2
26,15059,3,3
27,15060,4,4
28,15061,3,3
29,15062,4,4
30,15063,4,4
31,15064,3,3
32,15065,3,3
33,15066,3,3
34,15067,4,4
35,15068,4,4
36,15069,3,3
37,15070,3,3
38,15071,2,2
39,7,4,4
40,12492,1,1
41,12792,2,2
42,15072,4,4
43,15073,4,4
44,15074,4,4
45,15075,3,3
46,15076,3,3
47,15077,2,2
48,15078,3,3
49,15079,4,4
50,15080,3,3
51,15081,2,2
52,15082,4,4
53,15083,2,2
54,1,5,5
55,15084,5,5
56,15085,6,6
57,15086,4,4
58,15087,4,4
59,15088,4,4
60,15089,5,5
61,15090,3,3
62,15095,4,4
63,15097,4,4
64,15099,2,2
65,18821,4,4
66,18966,4,4
67,3,5,5
68,366,2,2
69,12573,4,4
70,15100,4,4
71,15101,5,5
72,15102,4,4
73,15103,4,4
74,15104,0,0
75,15105,2,2
76,15106,2,2
77,15107,3,3
78,15108,-1,-1
79,16503,3,3
80,16504,4,4
81,8,4,4
82,12672,2,2
83,15109,2,2
84,15110,1,1
85,15111,0,0
86,15112,2,2
87,15113,-1,-1
88,15114,0,0
89,15115,0,0
90,15116,1,1
91,6,5,5
92,365,2,2
93,15166,0,0
94,15167,-1,-1
95,15169,2,2
96,17700,4,4
97,12110,1542,1542
98,12111,-4,-4
99,12112,-4,-4
100,12113,-5,-5
101,12114,1331,1331
102,12117,-4,-4
103,12153,-3,-3
104,12154,-4,-4
105,13271,1762,1762
106,13272,-4,-4
107,13275,-6,-6
108,13276,-2,-2
109,13277,-1,-1
110,13278,1782,1782
111,12115,1,1
112,12116,0,0
113,12152,-1,-1
114,13273,-7,-7
115,13274,-4,-4
116,15098,3,3
117,15146,0,0
118,15147,-6,-6
119,15148,-2,-2
120,12578,0,0
121,12579,0,0
122,15140,0,0
123,15141,0,0
124,15142,0,0
125,15143,0,0
126,15144,-2,-2
127,15145,-4,-4
128,12574,1,1
129,12575,2,2
130,15149,-1,-1
131,15150,-2,-2
132,15151,0,0
133,15152,1,1
134,16500,-1,-1
135,15153,-4,-4
136,15154,-1,-1
137,15155,-5,-5
138,15156,-2,-2
139,15157,-3,-3
140,15160,-1,-1
141,15161,0,0
142,15162,-2,-2
143,15163,-3,-3
144,15164,-5,-5
145,15165,-2,-2
146,15055,0,0
147,15056,1,1
148,15057,3,3
149,9929,2,2
150,9930,2,2
151,15117,3,3
152,15118,3,3
153,15119,0,0
154,15120,1,1
155,15121,1,1
156,15122,2,2
157,15129,1,1
158,15130,4,4
159,15131,0,0
160,15132,2,2
161,15133,2,2
162,15134,0,0
163,15135,1,1
164,15136,2,2
165,15137,0,0
166,15138,0,0
167,15139,0,0
