,strSubID,strHourAvg,strValueAvg
0,371,18,18
1,12118,--,--
2,12119,--,--
3,12120,--,--
4,12494,21,21
5,18020,24,24
6,364,20,20
7,368,23,23
8,12495,23,23
9,12572,28,28
10,15040,21,21
11,15041,24,24
12,15042,24,24
13,15043,21,21
14,15044,23,23
15,15045,22,22
16,15046,22,22
17,15047,20,20
18,15048,22,22
19,5,19,19
20,363,25,25
21,15049,23,23
22,15050,21,21
23,15058,22,22
24,15059,23,23
25,15060,19,19
26,15061,22,22
27,15062,21,21
28,15063,20,20
29,15064,24,24
30,15065,23,23
31,15066,18,18
32,15067,22,22
33,15068,22,22
34,15069,22,22
35,15070,22,22
36,15071,22,22
37,4,22,22
38,7,20,20
39,12492,23,23
40,12792,25,25
41,15072,19,19
42,15073,23,23
43,15075,23,23
44,15076,21,21
45,15077,24,24
46,15078,23,23
47,15079,22,22
48,15080,18,18
49,15081,22,22
50,15082,23,23
51,15083,20,20
52,1,20,20
53,362,23,23
54,15084,20,20
55,15085,19,19
56,15086,19,19
57,15087,19,19
58,15088,19,19
59,15089,20,20
60,15090,19,19
61,15095,19,19
62,15096,23,23
63,15097,19,19
64,15099,20,20
65,18821,20,20
66,18966,20,20
67,3,19,19
68,366,22,22
69,12573,20,20
70,15100,22,22
71,15101,22,22
72,15102,22,22
73,15103,22,22
74,15104,21,21
75,15105,21,21
76,15106,22,22
77,15107,21,21
78,15108,21,21
79,16503,22,22
80,16504,21,21
81,8,20,20
82,12672,25,25
83,15109,22,22
84,15110,21,21
85,15111,19,19
86,15112,18,18
87,15113,19,19
88,15114,22,22
89,15115,24,24
90,15116,19,19
91,6,20,20
92,365,23,23
93,15166,24,24
94,15167,18,18
95,15169,23,23
96,17700,20,20
97,12110,19,19
98,12111,18,18
99,12112,18,18
100,12113,19,19
101,12114,19,19
102,12117,15,15
103,12153,20,20
104,12155,--,--
105,13271,17,17
106,13272,18,18
107,13275,18,18
108,13276,18,18
109,13277,17,17
110,13278,19,19
111,12115,19,19
112,12152,18,18
113,13273,20,20
114,13274,19,19
115,15098,18,18
116,15146,19,19
117,15147,24,24
118,15148,18,18
119,12154,20,20
120,12578,24,24
121,12579,22,22
122,15140,22,22
123,15141,20,20
124,15142,23,23
125,15143,18,18
126,15144,18,18
127,15145,21,21
128,12574,19,19
129,12575,24,24
130,15149,19,19
131,15150,17,17
132,15151,17,17
133,15152,17,17
134,16500,20,20
135,12576,19,19
136,12577,21,21
137,15153,16,16
138,15154,17,17
139,15155,16,16
140,15156,15,15
141,15157,17,17
142,15160,16,16
143,15161,16,16
144,15162,16,16
145,15163,15,15
146,15164,16,16
147,15165,16,16
148,15055,18,18
149,15056,19,19
150,15057,20,20
151,9929,22,22
152,9930,22,22
153,15117,21,21
154,15118,22,22
155,15119,19,19
156,15120,18,18
157,15121,19,19
158,15122,20,20
159,15129,19,19
160,15130,21,21
161,15131,18,18
162,15132,19,19
163,15133,18,18
164,15134,17,17
165,15135,20,20
166,15136,19,19
167,15137,18,18
168,15138,17,17
169,15139,24,24
