,strSubID,strHourAvg,strValueAvg
0,371,30,30
1,12118,--,--
2,12119,--,--
3,12120,--,--
4,12494,77,77
5,18020,66,66
6,2,45,45
7,364,46,46
8,368,59,59
9,12495,59,59
10,12572,54,54
11,15040,56,56
12,15041,46,46
13,15042,69,69
14,15043,51,51
15,15044,52,52
16,15045,64,64
17,15046,71,71
18,15047,53,53
19,15048,55,55
20,5,36,36
21,363,43,43
22,15049,60,60
23,15050,54,54
24,15058,46,46
25,15059,59,59
26,15060,50,50
27,15061,61,61
28,15062,55,55
29,15063,51,51
30,15064,62,62
31,15065,60,60
32,15066,35,35
33,15067,57,57
34,15068,54,54
35,15069,54,54
36,15070,60,60
37,15071,67,67
38,7,47,47
39,12492,90,90
40,12792,59,59
41,15072,62,62
42,15073,62,62
43,15074,58,58
44,15075,64,64
45,15076,62,62
46,15077,64,64
47,15078,59,59
48,15079,67,67
49,15080,60,60
50,15081,88,88
51,15082,66,66
52,15083,54,54
53,1,48,48
54,15084,53,53
55,15085,70,70
56,15086,60,60
57,15087,57,57
58,15088,61,61
59,15089,54,54
60,15090,55,55
61,15095,69,69
62,15097,82,82
63,15099,74,74
64,18821,70,70
65,18966,69,69
66,20300,--,--
67,3,46,46
68,366,44,44
69,15100,52,52
70,15101,58,58
71,15102,70,70
72,15103,75,75
73,15104,71,71
74,15105,52,52
75,15106,62,62
76,15107,60,60
77,15108,71,71
78,16503,63,63
79,16504,53,53
80,8,36,36
81,12672,61,61
82,15109,51,51
83,15110,58,58
84,15111,54,54
85,15112,35,35
86,15113,68,68
87,15114,60,60
88,15115,51,51
89,15116,71,71
90,6,33,33
91,365,49,49
92,15166,51,51
93,15167,69,69
94,15169,59,59
95,17700,45,45
96,12110,253,253
97,12111,110,110
98,12113,62,62
99,12114,80,80
100,12117,66,66
101,12153,58,58
102,12154,67,67
103,13271,254,254
104,13272,56,56
105,13275,56,56
106,13276,56,56
107,13277,58,58
108,13278,225,225
109,12115,55,55
110,12116,68,68
111,12152,69,69
112,13273,57,57
113,13274,57,57
114,15098,71,71
115,15146,67,67
116,15147,82,82
117,15148,60,60
118,12578,61,61
119,12579,56,56
120,15140,63,63
121,15141,56,56
122,15142,54,54
123,15143,51,51
124,15144,72,72
125,15145,73,73
126,12574,46,46
127,15149,63,63
128,15150,65,65
129,15151,79,79
130,15152,74,74
131,16500,56,56
132,12576,73,73
133,15153,86,86
134,15154,76,76
135,15155,77,77
136,15156,76,76
137,15157,69,69
138,15160,74,74
139,15161,73,73
140,15162,77,77
141,15163,80,80
142,15164,87,87
143,15165,65,65
144,15055,72,72
145,15056,67,67
146,15057,64,64
147,9930,71,71
148,15117,42,42
149,15118,43,43
150,15119,60,60
151,15120,41,41
152,15121,52,52
153,15122,62,62
154,15129,59,59
155,15130,46,46
156,15131,53,53
157,15132,48,48
158,15133,32,32
159,15134,71,71
160,15135,60,60
161,15136,63,63
162,15137,61,61
163,15138,69,69
164,15139,66,66
