,strSubID,strHourAvg,strValueAvg
0,371,10,10
1,12118,--,--
2,12119,--,--
3,12120,--,--
4,12494,8,8
5,18020,10,10
6,2,13,13
7,364,12,12
8,368,13,13
9,12493,--,0
10,12495,11,11
11,12572,14,14
12,15040,14,14
13,15041,12,12
14,15042,11,11
15,15043,13,13
16,15044,12,12
17,15045,12,12
18,15046,11,11
19,15047,12,12
20,15048,12,12
21,5,12,12
22,363,11,11
23,15049,11,11
24,15058,12,12
25,15059,12,12
26,15060,13,13
27,15061,12,12
28,15062,13,13
29,15063,13,13
30,15064,12,12
31,15065,10,10
32,15066,12,12
33,15067,13,13
34,15068,12,12
35,15069,10,10
36,15070,11,11
37,15071,9,9
38,4,12,12
39,7,10,10
40,12492,10,10
41,12792,11,11
42,15072,12,12
43,15073,13,13
44,15074,13,13
45,15075,12,12
46,15076,12,12
47,15077,10,10
48,15078,12,12
49,15079,9,9
50,15081,10,10
51,15082,14,14
52,15083,12,12
53,1,14,14
54,362,13,13
55,15084,14,14
56,15085,15,15
57,15086,14,14
58,15087,14,14
59,15088,13,13
60,15089,15,15
61,15090,14,14
62,15095,14,14
63,15096,13,13
64,15097,13,13
65,15099,13,13
66,18821,13,13
67,18966,13,13
68,3,13,13
69,366,11,11
70,12573,15,15
71,15100,13,13
72,15101,13,13
73,15102,14,14
74,15103,14,14
75,15104,12,12
76,15105,9,9
77,15106,12,12
78,15107,12,12
79,15108,11,11
80,16503,13,13
81,16504,12,12
82,8,13,13
83,12672,11,11
84,15109,12,12
85,15110,12,12
86,15111,11,11
87,15112,13,13
88,15113,9,9
89,15114,8,8
90,15115,10,10
91,15116,10,10
92,6,13,13
93,365,11,11
94,15166,11,11
95,15167,12,12
96,15169,11,11
97,17700,12,12
98,12110,11,11
99,12111,10,10
100,12112,10,10
101,12114,10,10
102,12117,8,8
103,12153,10,10
104,12155,--,--
105,13271,4,4
106,13272,9,9
107,13275,9,9
108,13276,10,10
109,13277,6,6
110,13278,9,9
111,12115,11,11
112,12116,8,8
113,12152,12,12
114,13273,7,7
115,13274,8,8
116,15098,14,14
117,15146,13,13
118,15147,7,7
119,15148,12,12
120,12154,8,8
121,12578,12,12
122,12579,13,13
123,15140,11,11
124,15141,12,12
125,15142,10,10
126,15143,12,12
127,15144,11,11
128,15145,12,12
129,12574,13,13
130,12575,12,12
131,15149,12,12
132,15150,12,12
133,15151,13,13
134,15152,14,14
135,16500,12,12
136,12576,11,11
137,12577,11,11
138,15153,8,8
139,15154,13,13
140,15155,9,9
141,15156,13,13
142,15157,11,11
143,15160,13,13
144,15161,13,13
145,15162,11,11
146,15164,9,9
147,15165,14,14
148,15055,8,8
149,15056,8,8
150,15057,9,9
151,9929,11,11
152,9930,8,8
153,15117,11,11
154,15118,11,11
155,15119,11,11
156,15120,11,11
157,15121,11,11
158,15122,6,6
159,15129,10,10
160,15130,13,13
161,15131,10,10
162,15133,13,13
163,15134,7,7
164,15135,11,11
165,15136,12,12
166,15137,11,11
167,15138,12,12
168,15139,11,11
