,strSubID,strHourAvg,strValueAvg
0,12118,--,--
1,12119,--,--
2,12120,--,--
3,12494,86,86
4,18020,69,69
5,2,51,51
6,364,60,60
7,12493,--,0
8,12495,56,56
9,12572,55,55
10,15040,61,61
11,15041,55,55
12,15042,66,66
13,15043,58,58
14,15045,67,67
15,15046,68,68
16,15047,60,60
17,15048,58,58
18,5,42,42
19,363,54,54
20,15049,53,53
21,15050,51,51
22,15058,58,58
23,15059,61,61
24,15060,60,60
25,15061,63,63
26,15062,64,64
27,15063,64,64
28,15064,66,66
29,15065,61,61
30,15066,54,54
31,15067,50,50
32,15068,62,62
33,15069,53,53
34,15070,62,62
35,15071,65,65
36,7,66,66
37,12492,76,76
38,12792,79,79
39,15072,64,64
40,15073,66,66
41,15074,64,64
42,15075,64,64
43,15076,64,64
44,15077,62,62
45,15078,64,64
46,15079,70,70
47,15080,70,70
48,15081,78,78
49,15082,74,74
50,15083,76,76
51,1,58,58
52,362,72,72
53,15084,68,68
54,15085,68,68
55,15086,66,66
56,15087,67,67
57,15088,68,68
58,15089,67,67
59,15090,69,69
60,15095,74,74
61,15096,72,72
62,15097,78,78
63,15099,82,82
64,18821,76,76
65,18966,72,72
66,3,60,60
67,366,66,66
68,12573,63,63
69,15100,65,65
70,15101,71,71
71,15102,75,75
72,15103,76,76
73,15104,81,81
74,15105,70,70
75,15106,75,75
76,15107,79,79
77,15108,92,92
78,16503,76,76
79,16504,73,73
80,8,62,62
81,12672,72,72
82,15109,78,78
83,15110,44,44
84,15111,83,83
85,15112,85,85
86,15113,60,60
87,15114,51,51
88,15115,48,48
89,15116,59,59
90,6,54,54
91,365,66,66
92,15166,71,71
93,15167,79,79
94,15169,62,62
95,17700,67,67
96,12110,208,208
97,12111,47,47
98,12112,57,57
99,12113,58,58
100,12114,37,37
101,12117,57,57
102,12153,58,58
103,12155,--,--
104,13271,45,45
105,13272,47,47
106,13275,48,48
107,13276,48,48
108,13277,53,53
109,13278,79,79
110,12115,48,48
111,12116,62,62
112,12152,--,--
113,13273,52,52
114,13274,52,52
115,15098,79,79
116,15146,81,81
117,15147,79,79
118,15148,81,81
119,12154,62,62
120,12578,82,82
121,12579,80,80
122,15140,82,82
123,15141,78,78
124,15142,79,79
125,15143,82,82
126,15144,74,74
127,15145,63,63
128,12574,77,77
129,12575,75,75
130,15149,80,80
131,15150,92,92
132,15151,85,85
133,15152,88,88
134,16500,80,80
135,12576,75,75
136,12577,88,88
137,15153,92,92
138,15154,80,80
139,15155,71,71
140,15156,71,71
141,15157,90,90
142,15160,83,83
143,15161,87,87
144,15162,88,88
145,15163,71,71
146,15164,82,82
147,15165,75,75
148,15055,48,48
149,15056,47,47
150,15057,51,51
151,9929,71,71
152,9930,70,70
153,15117,71,71
154,15118,69,69
155,15119,83,83
156,15120,73,73
157,15121,72,72
158,15122,77,77
159,15129,71,71
160,15130,73,73
161,15131,76,76
162,15132,60,60
163,15133,71,71
164,15134,68,68
165,15135,76,76
166,15136,80,80
167,15137,81,81
168,15138,87,87
169,15139,77,77
