,strSubID,strHourAvg,strValueAvg
0,371,36,36
1,12118,--,--
2,12119,--,--
3,12120,--,--
4,12494,59,59
5,18020,37,37
6,2,35,35
7,364,41,41
8,368,40,40
9,12493,--,0
10,12495,34,34
11,12572,37,37
12,15040,41,41
13,15041,38,38
14,15042,40,40
15,15043,41,41
16,15044,42,42
17,15045,42,42
18,15046,42,42
19,15047,42,42
20,15048,41,41
21,5,28,28
22,363,31,31
23,15049,39,39
24,15050,38,38
25,15058,35,35
26,15059,37,37
27,15060,36,36
28,15061,39,39
29,15062,42,42
30,15063,39,39
31,15065,38,38
32,15066,40,40
33,15067,34,34
34,15068,37,37
35,15069,33,33
36,15070,34,34
37,15071,36,36
38,4,41,41
39,7,38,38
40,12492,38,38
41,12792,38,38
42,15072,39,39
43,15073,43,43
44,15074,40,40
45,15075,37,37
46,15076,37,37
47,15077,37,37
48,15078,39,39
49,15079,36,36
50,15080,41,41
51,15081,39,39
52,15082,37,37
53,15083,39,39
54,1,37,37
55,362,44,44
56,15084,43,43
57,15085,43,43
58,15086,42,42
59,15087,43,43
60,15088,44,44
61,15089,44,44
62,15090,42,42
63,15095,46,46
64,15096,44,44
65,15097,47,47
66,15099,37,37
67,18821,43,43
68,18966,44,44
69,3,40,40
70,366,39,39
71,12573,35,35
72,15100,39,39
73,15101,44,44
74,15102,47,47
75,15103,44,44
76,15104,45,45
77,15105,42,42
78,15106,50,50
79,15107,52,52
80,15108,56,56
81,16503,46,46
82,16504,49,49
83,8,30,30
84,12672,35,35
85,15109,37,37
86,15110,34,34
87,15111,31,31
88,15112,34,34
89,15113,36,36
90,15114,36,36
91,15115,32,32
92,15116,28,28
93,6,37,37
94,365,39,39
95,15166,46,46
96,15167,50,50
97,15169,35,35
98,17700,38,38
99,12110,40,40
100,12111,49,49
101,12112,38,38
102,12113,49,49
103,12114,36,36
104,12117,34,34
105,12153,45,45
106,12155,--,--
107,13271,28,28
108,13272,46,46
109,13275,43,43
110,13276,28,28
111,13277,57,57
112,13278,33,33
113,12115,39,39
114,12116,64,--
115,12152,--,--
116,13273,48,48
117,13274,49,49
118,15098,39,39
119,15146,35,35
120,15147,35,35
121,15148,33,33
122,12154,44,44
123,12578,35,35
124,12579,34,34
125,15140,32,32
126,15141,26,26
127,15142,28,28
128,15143,33,33
129,15144,30,30
130,15145,32,32
131,12574,35,35
132,15149,30,30
133,15150,31,31
134,15151,27,27
135,15152,29,29
136,16500,34,34
137,12576,27,27
138,12577,25,25
139,15153,24,24
140,15154,27,27
141,15155,26,26
142,15156,24,24
143,15157,28,28
144,15160,26,26
145,15161,29,29
146,15162,27,27
147,15163,21,21
148,15164,22,22
149,15165,26,26
150,15055,29,29
151,15056,28,28
152,15057,26,26
153,9929,56,56
154,9930,59,59
155,15117,61,61
156,15118,59,59
157,15119,61,61
158,15120,46,46
159,15121,53,53
160,15122,66,66
161,15129,65,65
162,15130,60,60
163,15131,56,56
164,15132,50,50
165,15133,42,42
166,15134,34,34
167,15135,56,56
168,15136,52,52
169,15137,51,51
170,15138,42,42
171,15139,54,54
