,strSubID,strHourAvg,strValueAvg
0,371,44,44
1,12118,--,--
2,12119,--,--
3,12120,--,--
4,12494,34,34
5,18020,33,33
6,2,26,26
7,368,29,29
8,12493,27,27
9,12495,38,38
10,12572,27,27
11,15040,30,30
12,15041,28,28
13,15042,30,30
14,15043,31,31
15,15044,31,31
16,15045,31,31
17,15046,28,28
18,15047,30,30
19,15048,27,27
20,5,30,30
21,363,30,30
22,15049,33,33
23,15050,31,31
24,15058,29,29
25,15059,28,28
26,15060,27,27
27,15061,28,28
28,15062,29,29
29,15063,27,27
30,15064,27,27
31,15065,31,31
32,15066,32,32
33,15067,29,29
34,15068,31,31
35,15069,30,30
36,15070,32,32
37,15071,32,32
38,7,25,25
39,12492,31,31
40,12792,31,31
41,15072,35,35
42,15073,28,28
43,15074,28,28
44,15075,28,28
45,15076,35,35
46,15077,28,28
47,15078,27,27
48,15079,29,29
49,15080,32,32
50,15081,29,29
51,15082,29,29
52,15083,31,31
53,1,25,25
54,15084,30,30
55,15085,29,29
56,15086,31,31
57,15087,32,32
58,15088,32,32
59,15089,31,31
60,15090,26,26
61,15095,32,32
62,15097,32,32
63,15099,30,30
64,18821,30,30
65,18966,30,30
66,20300,--,--
67,3,26,26
68,366,29,29
69,12573,31,31
70,15100,30,30
71,15101,29,29
72,15102,32,32
73,15103,30,30
74,15104,32,32
75,15105,31,31
76,15106,34,34
77,15107,32,32
78,15108,37,37
79,16503,33,33
80,16504,32,32
81,8,26,26
82,12672,32,32
83,15109,31,31
84,15110,33,33
85,15111,27,27
86,15112,29,29
87,15113,32,32
88,15114,32,32
89,15115,30,30
90,15116,26,26
91,6,25,25
92,365,31,31
93,15166,34,34
94,15167,31,31
95,15169,30,30
96,17700,31,31
97,12110,20,20
98,12111,26,26
99,12112,22,22
100,12113,21,21
101,12114,24,24
102,12117,25,25
103,12153,24,24
104,12154,26,26
105,13271,24,24
106,13272,24,24
107,13275,26,26
108,13276,20,20
109,13277,22,22
110,13278,22,22
111,12115,28,28
112,12116,25,25
113,12152,33,33
114,13273,24,24
115,13274,26,26
116,15098,31,31
117,15146,30,30
118,15147,32,32
119,15148,27,27
120,12578,32,32
121,12579,33,33
122,15140,32,32
123,15141,29,29
124,15142,28,28
125,15143,32,32
126,15144,26,26
127,15145,32,32
128,12574,28,28
129,12575,26,26
130,15149,28,28
131,15150,26,26
132,15151,23,23
133,15152,27,27
134,16500,31,31
135,12576,25,25
136,12577,25,25
137,15153,20,20
138,15154,27,27
139,15155,26,26
140,15156,20,20
141,15157,26,26
142,15160,25,25
143,15161,27,27
144,15162,26,26
145,15163,19,19
146,15164,20,20
147,15165,23,23
148,15055,28,28
149,15056,34,34
150,15057,29,29
151,9929,32,32
152,9930,37,37
153,15117,30,30
154,15118,34,34
155,15119,30,30
156,15120,31,31
157,15121,34,34
158,15122,35,35
159,15129,33,33
160,15130,31,31
161,15131,34,34
162,15132,32,32
163,15133,28,28
164,15134,31,31
165,15135,32,32
166,15136,34,34
167,15137,36,36
168,15138,34,34
169,15139,32,32
