,strSubID,strHourAvg,strValueAvg
0,371,9,9
1,12118,--,--
2,12119,--,--
3,12120,--,--
4,12494,15,15
5,18020,8,8
6,2,12,12
7,364,13,13
8,368,11,11
9,12493,--,0
10,12495,10,10
11,12572,12,12
12,15040,12,12
13,15041,13,13
14,15042,10,10
15,15043,12,12
16,15044,12,12
17,15045,11,11
18,15046,10,10
19,15047,11,11
20,15048,10,10
21,5,13,13
22,363,12,12
23,15049,11,11
24,15058,12,12
25,15059,10,10
26,15060,11,11
27,15061,10,10
28,15062,12,12
29,15063,13,13
30,15064,10,10
31,15065,9,9
32,15066,14,14
33,15067,13,13
34,15068,11,11
35,15069,11,11
36,15070,10,10
37,15071,7,7
38,4,10,10
39,7,8,8
40,12492,9,9
41,12792,9,9
42,15072,11,11
43,15073,11,11
44,15074,12,12
45,15075,10,10
46,15076,10,10
47,15077,9,9
48,15078,10,10
49,15079,9,9
50,15081,9,9
51,15082,13,13
52,15083,11,11
53,1,13,13
54,362,12,12
55,15084,13,13
56,15085,13,13
57,15086,12,12
58,15087,12,12
59,15088,11,11
60,15089,13,13
61,15090,12,12
62,15095,13,13
63,15096,12,12
64,15097,13,13
65,15099,12,12
66,18821,13,13
67,18966,12,12
68,3,12,12
69,366,10,10
70,15100,12,12
71,15101,12,12
72,15102,13,13
73,15103,12,12
74,15104,10,10
75,15105,8,8
76,15106,10,10
77,15107,12,12
78,15108,8,8
79,16503,11,11
80,16504,11,11
81,8,12,12
82,12672,10,10
83,15109,9,9
84,15110,13,13
85,15111,11,11
86,15112,14,14
87,15113,10,10
88,15114,10,10
89,15115,11,11
90,15116,11,11
91,6,12,12
92,365,11,11
93,15166,10,10
94,15167,9,9
95,15169,11,11
96,17700,12,12
97,12110,9,9
98,12111,9,9
99,12112,9,9
100,12114,7,7
101,12117,6,6
102,12153,8,8
103,12155,--,--
104,13271,2,2
105,13272,7,7
106,13275,6,6
107,13276,11,11
108,13277,9,9
109,13278,6,6
110,12115,8,8
111,12116,6,6
112,12152,12,12
113,13273,4,4
114,13274,6,6
115,15098,12,12
116,15146,11,11
117,15147,5,5
118,15148,11,11
119,12154,6,6
120,12578,11,11
121,12579,12,12
122,15140,11,11
123,15141,12,12
124,15142,12,12
125,15143,13,13
126,15144,10,10
127,15145,9,9
128,12574,11,11
129,12575,10,10
130,15149,9,9
131,15150,10,10
132,15151,9,9
133,15152,10,10
134,16500,10,10
135,12576,11,11
136,12577,10,10
137,15153,6,6
138,15154,12,12
139,15155,7,7
140,15156,11,11
141,15157,9,9
142,15160,11,11
143,15161,11,11
144,15162,10,10
145,15164,7,7
146,15165,12,12
147,15055,5,5
148,15056,7,7
149,15057,8,8
150,9929,12,12
151,9930,13,13
152,15117,12,12
153,15118,13,13
154,15119,10,10
155,15120,12,12
156,15121,11,11
157,15122,5,5
158,15129,9,9
159,15130,14,14
160,15131,9,9
161,15133,12,12
162,15134,8,8
163,15135,10,10
164,15136,11,11
165,15137,9,9
166,15138,9,9
167,15139,9,9
