,SubID,time,MAXAQI,PM10Iaqi,PM10value,PM2_5Iaqi,PM2_5value,COIaqi,COvalue,NO2Iaqi,NO2value,SO2Iaqi,SO2value,O3_1Iaqi,O3_1value,O3_8Iaqi,O3_8value
0,1,2020-11-16 02:00:00,182,139,227,182,137,14,1382,43,85,5,15,2,5,8,16
1,2,2020-11-16 02:00:00,0,,,,,,,,,,,,,,
2,3,2020-11-16 02:00:00,166,120,189,166,126,12,1107,42,83,3,8,1,2,8,16
3,4,2020-11-16 02:00:00,127,91,131,127,96,11,1082,38,76,3,8,2,5,11,22
4,5,2020-11-16 02:00:00,88,68,85,88,65,9,871,18,35,4,11,23,72,33,65
5,6,2020-11-16 02:00:00,83,77,104,83,61,8,757,20,40,2,6,19,59,17,33
6,7,2020-11-16 02:00:00,132,113,175,132,100,10,924,41,81,3,9,2,4,12,23
7,8,2020-11-16 02:00:00,94,78,106,94,70,7,649,30,60,3,8,11,34,19,38
8,362,2020-11-16 02:00:00,160,121,192,160,122,14,1335,41,82,5,13,1,3,10,20
9,363,2020-11-16 02:00:00,74,74,98,74,54,5,493,13,25,3,8,25,80,43,85
10,364,2020-11-16 02:00:00,70,59,67,70,51,7,666,8,15,3,7,32,101,46,91
11,365,2020-11-16 02:00:00,80,67,84,80,59,6,524,17,33,3,8,20,62,26,51
12,366,2020-11-16 02:00:00,82,79,107,82,60,7,655,36,72,3,9,10,29,8,16
13,368,2020-11-16 02:00:00,108,87,123,108,81,11,1094,37,74,2,6,2,5,8,16
14,371,2020-11-16 02:00:00,73,73,96,63,45,4,341,9,17,3,8,33,105,56,107
15,9929,2020-11-16 02:00:00,73,70,90,73,53,10,964,41,82,3,8,8,23,14,28
16,9930,2020-11-16 02:00:00,88,88,125,79,58,13,1247,35,70,5,13,4,10,7,13
17,12110,2020-11-16 02:00:00,114,90,129,114,86,9,829,30,59,5,13,4,11,18,35
18,12111,2020-11-16 02:00:00,165,150,249,165,125,20,1931,40,80,13,39,1,2,9,17
19,12112,2020-11-16 02:00:00,84,84,118,82,60,7,636,29,57,3,7,14,42,15,30
20,12113,2020-11-16 02:00:00,95,95,139,73,53,10,970,28,56,3,8,4,10,11,22
21,12114,2020-11-16 02:00:00,0,,,,,,,,,,,,,4,8
22,12115,2020-11-16 02:00:00,84,84,118,82,60,12,1106,21,42,4,12,15,48,21,42
23,12116,2020-11-16 02:00:00,107,105,159,107,80,11,1032,42,83,21,62,2,4,5,9
24,12117,2020-11-16 02:00:00,93,78,106,93,69,9,886,26,51,2,6,5,13,10,19
25,12118,2020-11-16 02:00:00,75,75,99,74,54,,,21,41,3,7,,,,
26,12119,2020-11-16 02:00:00,135,135,219,123,93,,,46,92,4,11,,,,
27,12120,2020-11-16 02:00:00,98,84,118,98,73,,,33,66,4,10,,,,
28,12151,2020-11-16 02:00:00,0,,,,,,,,,,,,,,
29,12152,2020-11-16 02:00:00,82,82,113,73,53,8,788,27,53,4,10,14,44,32,63
30,12153,2020-11-16 02:00:00,71,71,91,65,47,6,535,42,83,2,6,4,11,8,15
31,12154,2020-11-16 02:00:00,84,77,103,84,62,8,708,38,76,2,5,2,4,2,4
32,12155,2020-11-16 02:00:00,87,68,85,87,64,5,462,33,65,3,8,10,29,11,22
33,12492,2020-11-16 02:00:00,158,120,189,158,120,13,1201,50,100,4,11,2,4,6,12
34,12493,2020-11-16 02:00:00,0,,,,,,,,,,,,,,
35,12494,2020-11-16 02:00:00,175,142,233,175,132,21,2029,35,69,5,14,3,9,17,33
36,12495,2020-11-16 02:00:00,83,71,92,83,61,9,867,21,42,2,5,15,45,29,58
37,12572,2020-11-16 02:00:00,83,64,77,83,61,4,396,19,37,2,6,21,65,19,38
38,12573,2020-11-16 02:00:00,79,66,81,79,58,5,449,20,39,4,10,27,84,45,90
39,12574,2020-11-16 02:00:00,250,165,279,250,200,17,1667,25,50,9,27,8,23,29,58
40,12575,2020-11-16 02:00:00,226,154,258,226,176,17,1602,30,60,14,40,8,24,31,61
41,12576,2020-11-16 02:00:00,224,152,254,224,174,16,1552,31,62,8,23,11,33,25,49
42,12577,2020-11-16 02:00:00,227,136,222,227,177,18,1720,27,54,3,9,11,33,25,50
43,12578,2020-11-16 02:00:00,133,102,153,133,101,14,1343,23,46,8,23,18,55,24,48
44,12579,2020-11-16 02:00:00,124,102,153,124,94,14,1310,21,41,9,25,25,79,39,77
45,12672,2020-11-16 02:00:00,93,86,122,93,69,3,233,38,76,2,5,1,3,15,30
46,12792,2020-11-16 02:00:00,138,110,170,138,105,9,868,46,92,4,11,2,5,8,15
47,13271,2020-11-16 02:00:00,80,68,85,80,59,11,1025,8,15,2,6,11,33,20,39
48,13272,2020-11-16 02:00:00,118,118,186,114,86,10,980,37,73,4,12,1,2,2,4
49,13273,2020-11-16 02:00:00,78,78,105,67,48,6,531,37,73,1,2,1,3,2,4
50,13274,2020-11-16 02:00:00,93,93,135,78,57,6,536,29,57,3,7,7,22,11,22
51,13275,2020-11-16 02:00:00,163,116,182,163,124,6,525,31,61,3,9,3,9,8,15
52,13276,2020-11-16 02:00:00,81,81,111,74,54,14,1394,18,35,6,16,17,52,34,68
53,13277,2020-11-16 02:00:00,79,70,90,79,58,7,623,32,63,3,9,2,4,14,28
54,13278,2020-11-16 02:00:00,113,86,121,113,85,8,708,33,66,3,9,3,7,5,10
55,15040,2020-11-16 02:00:00,139,105,159,139,106,13,1243,34,68,4,10,7,20,9,17
56,15041,2020-11-16 02:00:00,82,78,105,82,60,8,737,22,44,3,8,21,65,34,68
57,15042,2020-11-16 02:00:00,179,122,194,179,135,20,1911,42,84,3,8,1,2,9,17
58,15043,2020-11-16 02:00:00,133,96,142,133,101,13,1257,26,51,3,8,13,39,14,28
59,15044,2020-11-16 02:00:00,92,74,98,92,68,7,619,24,48,2,5,20,64,31,62
60,15045,2020-11-16 02:00:00,186,128,205,186,140,14,1313,39,78,3,9,2,6,10,20
61,15046,2020-11-16 02:00:00,165,119,187,165,125,14,1379,40,79,3,9,4,10,12,24
62,15047,2020-11-16 02:00:00,97,83,115,97,72,9,824,31,62,2,6,10,29,17,33
63,15048,2020-11-16 02:00:00,89,75,100,89,66,5,478,29,57,3,8,12,37,14,28
64,15049,2020-11-16 02:00:00,73,65,79,73,53,8,706,19,38,3,8,21,67,17,33
65,15050,2020-11-16 02:00:00,97,77,104,97,72,9,827,27,54,4,10,14,44,17,33
66,15055,2020-11-16 02:00:00,80,67,84,80,59,12,1152,11,21,4,10,21,65,36,72
67,15056,2020-11-16 02:00:00,84,71,92,84,62,7,677,7,14,3,8,19,59,38,76
68,15057,2020-11-16 02:00:00,87,77,103,87,64,8,800,10,19,2,5,19,59,33,65
69,15058,2020-11-16 02:00:00,92,79,107,92,68,6,594,17,34,4,10,24,74,31,62
