,SubID,time,MAXAQI,PM10Iaqi,PM10value,PM2_5Iaqi,PM2_5value,COIaqi,COvalue,NO2Iaqi,NO2value,SO2Iaqi,SO2value,O3_1Iaqi,O3_1value,O3_8Iaqi,O3_8value
0,1,2020-12-27 20:00:00,263,176,302,263,213,17,1687,57,114,14,42,3,8,17,34
1,2,2020-12-27 20:00:00,222,158,265,222,172,19,1834,58,115,8,23,2,5,12,23
2,3,2020-12-27 20:00:00,264,170,290,264,214,23,2257,59,117,10,29,3,7,13,26
3,4,2020-12-27 20:00:00,0,,,,,,,,,,,,,,
4,5,2020-12-27 20:00:00,229,145,239,229,179,23,2299,58,115,10,28,5,13,17,34
5,6,2020-12-27 20:00:00,221,142,234,221,171,21,2096,60,119,7,19,2,6,14,28
6,7,2020-12-27 20:00:00,243,169,287,243,193,23,2292,60,120,15,45,2,6,20,39
7,8,2020-12-27 20:00:00,237,160,270,237,187,17,1618,51,102,8,22,4,10,24,47
8,362,2020-12-27 20:00:00,0,,,,,,,,,,,,,,
9,363,2020-12-27 20:00:00,217,144,238,217,167,15,1460,47,94,5,15,6,18,16,32
10,364,2020-12-27 20:00:00,207,122,194,207,157,11,1089,34,68,5,15,13,39,20,39
11,365,2020-12-27 20:00:00,221,142,233,221,171,18,1782,50,100,8,22,3,9,13,25
12,366,2020-12-27 20:00:00,234,156,261,234,184,20,1901,60,120,8,22,1,3,15,30
13,368,2020-12-27 20:00:00,240,163,276,240,190,19,1871,51,102,7,21,3,7,13,26
14,371,2020-12-27 20:00:00,117,91,132,117,88,10,986,16,32,7,19,31,97,48,95
15,9929,2020-12-27 20:00:00,208,134,218,208,158,23,2214,53,106,9,25,4,12,31,61
16,9930,2020-12-27 20:00:00,236,168,286,236,186,29,2844,54,108,9,27,3,7,25,49
17,12110,2020-12-27 20:00:00,254,148,246,254,204,11,1041,30,60,14,40,13,41,35,69
18,12111,2020-12-27 20:00:00,307,212,358,307,257,21,2009,42,83,34,100,5,14,27,53
19,12112,2020-12-27 20:00:00,234,161,271,234,184,18,1772,63,126,13,37,3,9,31,62
