,SubID,time,MAXAQI,PM10Iaqi,PM10value,PM2_5Iaqi,PM2_5value,COIaqi,COvalue,NO2Iaqi,NO2value,SO2Iaqi,SO2value,O3_1Iaqi,O3_1value,O3_8Iaqi,O3_8value
0,1,2020-12-11 07:00:00,221,136,221,221,171,19,1854,21,42,8,23,3,9,4,8
1,2,2020-12-11 07:00:00,190,124,197,190,143,13,1249,27,54,4,12,2,5,3,5
2,3,2020-12-11 07:00:00,226,150,250,226,176,23,2211,24,47,5,14,2,4,2,4
3,4,2020-12-11 07:00:00,228,138,225,228,178,25,2444,24,47,17,50,3,8,4,7
4,5,2020-12-11 07:00:00,189,114,178,189,142,18,1793,24,48,7,20,4,12,9,17
5,6,2020-12-11 07:00:00,205,121,191,205,155,15,1448,29,57,3,7,2,5,3,5
6,7,2020-12-11 07:00:00,166,122,194,166,126,17,1679,23,45,5,13,2,5,3,5
7,8,2020-12-11 07:00:00,189,125,200,189,142,14,1364,20,40,4,10,3,7,4,8
8,362,2020-12-11 07:00:00,201,147,244,201,151,23,2287,27,54,9,26,1,3,3,6
9,363,2020-12-11 07:00:00,180,125,199,180,136,12,1149,16,32,3,7,6,19,10,20
10,364,2020-12-11 07:00:00,178,114,178,178,134,14,1346,16,31,3,7,8,23,13,25
11,365,2020-12-11 07:00:00,193,136,221,193,145,17,1622,28,56,4,10,3,7,3,6
12,366,2020-12-11 07:00:00,200,139,227,200,150,18,1781,34,67,4,12,1,3,1,2
13,368,2020-12-11 07:00:00,199,127,204,199,149,14,1364,28,56,3,9,2,6,3,6
14,371,2020-12-11 07:00:00,0,,,,,,,,,,,,,,
15,9929,2020-12-11 07:00:00,238,150,250,238,188,21,2049,27,54,3,8,3,7,3,6
16,9930,2020-12-11 07:00:00,186,150,250,186,140,18,1730,20,40,5,14,1,1,1,1
17,12110,2020-12-11 07:00:00,246,157,263,246,196,20,1915,21,42,6,18,3,7,3,6
18,12111,2020-12-11 07:00:00,232,171,292,232,182,19,1867,17,33,8,22,1,2,1,2
19,12112,2020-12-11 07:00:00,235,167,283,235,185,18,1748,39,78,6,18,1,3,1,2
20,12113,2020-12-11 07:00:00,244,163,276,244,194,13,1267,14,28,6,17,3,8,3,5
21,12114,2020-12-11 07:00:00,249,171,292,249,199,24,2363,24,47,8,24,2,6,4,7
22,12115,2020-12-11 07:00:00,222,153,255,222,172,18,1795,17,33,7,19,3,9,4,8
23,12116,2020-12-11 07:00:00,298,298,418,254,204,32,3132,20,39,7,21,2,5,2,4
24,12117,2020-12-11 07:00:00,199,123,195,199,149,16,1586,15,29,2,6,2,4,2,4
25,12118,2020-12-11 07:00:00,231,154,257,231,181,,,25,49,5,14,,,,
26,12119,2020-12-11 07:00:00,260,175,299,260,210,,,28,56,6,18,,,,
27,12120,2020-12-11 07:00:00,219,132,213,219,169,,,19,37,4,12,,,,
28,12151,2020-12-11 07:00:00,0,,,,,,,,,,,,,,
29,12152,2020-12-11 07:00:00,180,137,223,180,136,18,1767,22,43,6,16,3,8,4,8
30,12153,2020-12-11 07:00:00,265,171,291,265,215,22,2175,25,50,4,12,1,2,2,4
31,12154,2020-12-11 07:00:00,219,150,249,219,169,17,1607,19,38,3,9,1,3,1,2
32,12155,2020-12-11 07:00:00,243,152,254,243,193,23,2263,25,50,4,10,1,2,1,2
33,12492,2020-12-11 07:00:00,132,103,156,132,100,18,1740,25,49,6,17,2,4,2,4
