,SubID,time,MAXAQI,PM10Iaqi,PM10value,PM2_5Iaqi,PM2_5value,COIaqi,COvalue,NO2Iaqi,NO2value,SO2Iaqi,SO2value,O3_1Iaqi,O3_1value,O3_8Iaqi,O3_8value
0,1,2020-11-10 11:00:00,97,97,143,74,54,6,580,19,38,6,17,23,72,10,19
1,2,2020-11-10 11:00:00,98,98,145,67,48,11,1098,31,61,6,16,20,63,9,17
2,3,2020-11-10 11:00:00,104,104,158,84,62,10,988,29,58,6,17,20,63,8,15
3,4,2020-11-10 11:00:00,84,84,117,67,48,8,793,15,30,6,16,26,82,11,22
4,5,2020-11-10 11:00:00,78,78,105,59,42,8,745,14,28,6,17,32,100,21,42
5,6,2020-11-10 11:00:00,35,,,,,9,862,35,70,6,16,19,58,10,19
6,7,2020-11-10 11:00:00,0,,,,,,,,,,,,,,
7,8,2020-11-10 11:00:00,88,88,125,75,55,9,884,13,26,7,20,,,65,117
8,362,2020-11-10 11:00:00,90,90,129,54,38,6,581,24,48,5,14,,,4,8
9,363,2020-11-10 11:00:00,76,76,101,48,33,6,503,17,34,5,15,26,82,19,37
10,364,2020-11-10 11:00:00,91,91,131,68,49,10,970,37,73,5,15,18,57,30,60
11,365,2020-11-10 11:00:00,89,89,128,54,38,7,684,36,71,5,15,17,52,13,25
12,366,2020-11-10 11:00:00,84,84,118,69,50,8,742,32,64,7,19,19,60,10,19
13,368,2020-11-10 11:00:00,94,94,137,57,40,6,590,21,42,5,13,22,68,9,17
14,371,2020-11-10 11:00:00,71,71,92,45,31,13,1271,11,22,7,19,29,91,47,94
15,9929,2020-11-10 11:00:00,65,65,79,42,29,13,1243,12,24,5,15,34,108,18,35
16,9930,2020-11-10 11:00:00,69,69,88,39,27,16,1554,15,29,7,20,24,75,12,23
17,12110,2020-11-10 11:00:00,96,96,142,92,68,17,1645,20,40,14,41,23,73,12,23
18,12111,2020-11-10 11:00:00,119,119,187,118,89,47,4657,32,64,26,77,14,43,6,11
19,12112,2020-11-10 11:00:00,0,,,,,,,,,,,,,1,2
20,12113,2020-11-10 11:00:00,0,,,,,,,,,,,,,,
21,12114,2020-11-10 11:00:00,116,116,182,99,74,30,2922,43,85,17,50,11,34,5,10
22,12115,2020-11-10 11:00:00,80,80,109,50,35,13,1229,16,31,9,25,21,65,11,22
23,12116,2020-11-10 11:00:00,82,82,114,67,48,,,18,36,5,14,24,74,9,18
24,12117,2020-11-10 11:00:00,78,78,106,75,55,31,3042,26,51,14,42,22,68,12,23
25,12118,2020-11-10 11:00:00,87,87,123,60,43,,,17,33,6,18,,,,
26,12119,2020-11-10 11:00:00,112,112,173,92,68,,,14,27,10,29,,,,
27,12120,2020-11-10 11:00:00,109,91,132,109,82,,,24,47,18,52,,,,
28,12151,2020-11-10 11:00:00,0,,,,,,,,,,,,,,
29,12152,2020-11-10 11:00:00,72,72,94,40,28,9,851,18,35,,,,,22,43
30,12153,2020-11-10 11:00:00,91,91,132,77,56,13,1227,26,52,7,21,17,53,9,18
31,12154,2020-11-10 11:00:00,98,98,146,83,61,11,1097,30,60,8,22,18,55,8,15
32,12155,2020-11-10 11:00:00,84,84,117,74,54,15,1434,23,45,8,22,20,63,10,19
33,12492,2020-11-10 11:00:00,92,92,134,64,46,6,552,20,40,6,18,22,68,9,18
34,12493,2020-11-10 11:00:00,81,81,112,63,45,8,784,38,75,5,15,16,49,24,47
35,12494,2020-11-10 11:00:00,149,149,248,124,94,18,1775,32,63,9,26,10,32,8,16
36,12495,2020-11-10 11:00:00,87,87,123,58,41,7,697,24,48,5,14,21,66,23,46
37,12572,2020-11-10 11:00:00,96,96,142,58,41,10,956,39,77,6,16,15,48,16,31
38,12573,2020-11-10 11:00:00,84,84,118,57,40,7,618,31,61,5,14,21,66,29,58
39,12574,2020-11-10 11:00:00,125,125,199,89,66,7,670,34,68,9,26,8,24,8,15
40,12575,2020-11-10 11:00:00,95,95,139,77,56,13,1237,38,76,8,23,10,31,6,12
41,12576,2020-11-10 11:00:00,110,110,170,102,76,20,1934,37,74,15,45,13,40,9,18
42,12577,2020-11-10 11:00:00,92,92,134,78,57,17,1680,23,46,11,31,16,49,6,12
43,12578,2020-11-10 11:00:00,92,92,133,84,62,12,1128,,,10,30,21,67,12,23
44,12579,2020-11-10 11:00:00,100,100,149,65,47,13,1229,27,53,11,33,23,72,17,34
45,12672,2020-11-10 11:00:00,77,77,103,40,28,8,722,12,23,5,15,32,101,12,24
46,12792,2020-11-10 11:00:00,21,,,,,6,580,21,42,6,17,20,61,10,20
47,13271,2020-11-10 11:00:00,77,77,103,75,55,15,1404,14,28,8,22,24,76,17,33
48,13272,2020-11-10 11:00:00,104,104,157,97,72,30,2908,23,46,11,32,20,61,8,15
49,13273,2020-11-10 11:00:00,112,112,173,105,79,21,2059,24,48,13,38,21,65,9,18
50,13274,2020-11-10 11:00:00,105,105,160,87,64,8,755,17,34,6,18,23,73,12,24
51,13275,2020-11-10 11:00:00,115,115,180,115,87,16,1590,23,46,14,40,20,63,16,32
52,13276,2020-11-10 11:00:00,139,105,159,139,106,19,1838,22,43,10,30,22,70,14,27
53,13277,2020-11-10 11:00:00,83,83,116,74,54,11,1065,14,27,6,17,26,82,12,23
54,13278,2020-11-10 11:00:00,89,89,127,83,61,31,3092,26,51,19,55,20,63,12,23
55,15040,2020-11-10 11:00:00,104,104,158,92,68,10,981,27,53,6,18,19,60,8,15
56,15041,2020-11-10 11:00:00,89,89,128,59,42,9,834,26,52,6,16,24,76,25,49
57,15042,2020-11-10 11:00:00,93,93,135,82,60,7,679,25,50,5,15,19,59,7,13
58,15043,2020-11-10 11:00:00,104,104,158,99,74,12,1126,27,54,6,16,21,66,11,21
59,15044,2020-11-10 11:00:00,101,101,152,82,60,8,742,38,75,6,16,17,54,14,27
60,15045,2020-11-10 11:00:00,95,95,140,94,70,7,692,25,49,6,16,20,61,8,16
61,15046,2020-11-10 11:00:00,98,98,145,70,51,7,673,24,48,6,17,18,57,8,15
62,15047,2020-11-10 11:00:00,98,98,145,74,54,7,700,33,65,5,15,18,56,10,20
63,15048,2020-11-10 11:00:00,97,97,143,88,65,8,717,34,68,6,16,17,54,9,17
64,15049,2020-11-10 11:00:00,30,,,,,8,797,18,36,5,14,30,95,12,23
65,15050,2020-11-10 11:00:00,0,,,,,,,,,,,,,,
66,15055,2020-11-10 11:00:00,73,70,90,73,53,23,2274,26,52,10,28,28,88,21,42
67,15056,2020-11-10 11:00:00,79,79,108,69,50,14,1346,15,29,6,17,32,101,29,58
68,15057,2020-11-10 11:00:00,88,67,84,88,65,11,1035,13,26,6,16,29,90,22,44
69,15058,2020-11-10 11:00:00,86,86,122,63,45,6,586,16,32,6,16,31,97,18,35
70,15059,2020-11-10 11:00:00,113,113,175,89,66,7,676,19,37,6,16,27,84,12,24
71,15060,2020-11-10 11:00:00,103,103,156,82,60,5,474,,,10,28,22,68,9,18
72,15061,2020-11-10 11:00:00,124,124,198,,,,,,,,,,,3,5
73,15062,2020-11-10 11:00:00,99,99,147,87,64,11,1007,26,51,5,14,20,63,8,15
74,15063,2020-11-10 11:00:00,98,,,98,73,6,562,24,48,6,16,20,64,9,17
75,15064,2020-11-10 11:00:00,28,,,,,7,643,28,56,6,16,20,64,8,16
76,15065,2020-11-10 11:00:00,142,128,205,142,108,11,1050,21,42,6,18,22,69,9,17
77,15066,2020-11-10 11:00:00,82,82,113,73,53,4,374,18,36,5,15,29,91,37,73
78,15067,2020-11-10 11:00:00,94,94,138,79,58,10,952,15,29,6,17,28,89,15,30
79,15068,2020-11-10 11:00:00,101,101,151,90,67,11,1052,19,38,7,20,25,78,12,23
80,15069,2020-11-10 11:00:00,87,87,124,73,53,8,793,15,30,6,18,30,95,21,41
81,15070,2020-11-10 11:00:00,81,81,112,78,57,12,1113,16,31,8,22,25,78,18,36
82,15071,2020-11-10 11:00:00,93,93,136,85,63,11,1050,21,41,7,19,25,78,13,25
83,15072,2020-11-10 11:00:00,113,113,175,87,64,7,645,27,54,6,16,19,59,6,12
84,15073,2020-11-10 11:00:00,94,94,137,73,53,6,544,25,50,5,14,20,62,7,14
85,15074,2020-11-10 11:00:00,108,108,165,88,65,,,,,,,,,6,11
86,15075,2020-11-10 11:00:00,93,93,136,78,57,6,596,25,50,6,16,21,67,8,15
87,15076,2020-11-10 11:00:00,99,99,148,73,53,6,592,22,43,5,14,22,68,8,15
88,15077,2020-11-10 11:00:00,88,88,126,68,49,8,709,20,39,5,14,26,82,11,22
89,15078,2020-11-10 11:00:00,100,100,150,75,55,7,685,34,68,7,19,18,56,9,18
90,15079,2020-11-10 11:00:00,102,102,153,95,71,10,924,23,45,7,19,21,66,10,20
91,15080,2020-11-10 11:00:00,100,100,150,84,62,11,1026,24,47,6,17,19,59,7,13
92,15081,2020-11-10 11:00:00,60,13,13,60,43,11,1015,19,38,7,20,24,76,10,19
93,15082,2020-11-10 11:00:00,114,114,177,95,71,10,934,22,43,7,19,24,74,12,23
94,15083,2020-11-10 11:00:00,96,96,141,88,65,11,1012,20,39,6,17,24,76,13,26
95,15084,2020-11-10 11:00:00,98,98,145,60,43,15,1457,,,5,14,26,82,11,22
96,15085,2020-11-10 11:00:00,113,113,175,84,62,11,1068,21,41,6,16,21,65,8,16
97,15086,2020-11-10 11:00:00,110,110,169,93,69,11,1037,23,45,5,14,20,63,8,16
98,15087,2020-11-10 11:00:00,110,110,170,90,67,7,608,21,42,5,13,20,61,8,16
99,15088,2020-11-10 11:00:00,117,117,184,78,57,10,910,18,35,5,13,20,63,8,16
100,15089,2020-11-10 11:00:00,101,101,151,83,61,13,1226,19,38,6,18,23,71,10,19
101,15090,2020-11-10 11:00:00,96,96,142,73,53,4,332,22,44,9,26,22,70,10,19
102,15091,2020-11-10 11:00:00,115,115,179,98,73,9,806,30,60,7,20,11,35,6,11
103,15095,2020-11-10 11:00:00,103,103,156,89,66,11,1099,25,50,4,10,20,61,10,20
