,SubID,time,MAXAQI,PM10Iaqi,PM10value,PM2_5Iaqi,PM2_5value,COIaqi,COvalue,NO2Iaqi,NO2value,SO2Iaqi,SO2value,O3_1Iaqi,O3_1value,O3_8Iaqi,O3_8value
0,1,2020-12-21 13:00:00,99,75,99,99,74,5,403,12,23,7,21,23,73,16,32
1,2,2020-12-21 13:00:00,69,66,81,69,50,7,697,16,32,7,20,23,71,15,30
2,3,2020-12-21 13:00:00,23,,,,,11,1046,9,18,7,19,23,71,10,20
3,4,2020-12-21 13:00:00,0,,,,,,,,,,,,,,
4,5,2020-12-21 13:00:00,80,62,73,80,59,12,1107,16,31,8,24,25,80,23,45
5,6,2020-12-21 13:00:00,62,62,73,46,32,10,929,14,27,7,21,24,76,14,28
6,7,2020-12-21 13:00:00,82,75,99,82,60,8,761,14,28,8,22,22,70,14,28
7,8,2020-12-21 13:00:00,107,83,116,107,80,7,644,8,15,7,19,25,79,19,38
8,362,2020-12-21 13:00:00,0,,,,,,,,,,,,,,
9,363,2020-12-21 13:00:00,82,72,93,82,60,7,699,12,24,7,19,24,76,23,45
10,364,2020-12-21 13:00:00,73,67,83,73,53,12,1133,14,28,7,20,21,65,22,43
11,365,2020-12-21 13:00:00,58,58,66,54,38,8,757,15,30,7,21,25,78,17,33
12,366,2020-12-21 13:00:00,62,62,73,55,39,8,771,16,32,6,17,24,75,21,42
13,368,2020-12-21 13:00:00,76,76,101,72,52,7,653,15,29,7,19,23,71,15,30
14,371,2020-12-21 13:00:00,63,61,72,63,45,10,905,12,24,8,22,21,67,34,67
15,9929,2020-12-21 13:00:00,70,70,89,63,45,13,1258,,,7,19,23,73,15,30
16,9930,2020-12-21 13:00:00,66,66,82,63,45,9,852,13,25,8,22,19,60,18,35
17,12110,2020-12-21 13:00:00,176,101,151,176,133,15,1428,17,33,10,30,19,60,13,25
18,12111,2020-12-21 13:00:00,148,93,135,148,113,8,732,19,38,11,33,18,56,9,17
19,12112,2020-12-21 13:00:00,192,122,194,192,144,15,1433,42,84,51,157,19,60,13,26
20,12113,2020-12-21 13:00:00,88,72,94,88,65,17,1691,22,43,14,42,23,72,22,44
21,12114,2020-12-21 13:00:00,235,160,269,235,185,21,2082,31,61,41,123,10,30,6,12
22,12115,2020-12-21 13:00:00,115,98,145,115,87,13,1256,25,49,15,44,20,61,15,30
