,SubID,time,MAXAQI,PM10Iaqi,PM10value,PM2_5Iaqi,PM2_5value,COIaqi,COvalue,NO2Iaqi,NO2value,SO2Iaqi,SO2value,O3_1Iaqi,O3_1value,O3_8Iaqi,O3_8value
0,1,2021-01-02 23:00:00,139,118,186,139,106,20,1940,40,79,27,80,3,8,5,9
1,2,2021-01-02 23:00:00,114,108,165,114,86,18,1708,45,90,25,75,2,5,3,6
2,3,2021-01-02 23:00:00,152,124,197,152,116,24,2386,42,83,27,80,2,6,3,6
3,4,2021-01-02 23:00:00,0,,,,,,,,,,,,,,
4,5,2021-01-02 23:00:00,95,73,96,95,71,20,1903,45,90,23,68,2,5,4,8
5,6,2021-01-02 23:00:00,107,92,134,107,80,22,2121,48,96,22,66,3,7,3,6
6,7,2021-01-02 23:00:00,122,110,170,122,92,18,1713,41,82,21,63,2,6,4,7
7,8,2021-01-02 23:00:00,105,91,131,105,79,14,1302,37,73,10,28,3,8,7,13
8,362,2021-01-02 23:00:00,0,,,,,,,,,,,,,,
9,363,2021-01-02 23:00:00,80,80,109,,,12,1189,34,68,6,18,3,9,6,12
10,364,2021-01-02 23:00:00,92,72,94,92,68,13,1249,32,63,6,17,4,12,8,16
11,365,2021-01-02 23:00:00,89,80,109,89,66,15,1473,36,71,8,22,3,7,4,7
12,366,2021-01-02 23:00:00,98,95,139,98,73,17,1683,40,80,9,25,1,2,2,4
13,368,2021-01-02 23:00:00,148,132,214,148,113,21,2032,39,77,24,71,3,8,4,8
14,371,2021-01-02 23:00:00,85,80,110,85,63,10,948,23,46,7,20,12,36,22,44
15,9929,2021-01-02 23:00:00,107,85,120,107,80,22,2178,40,79,7,21,2,6,6,11
16,9930,2021-01-02 23:00:00,108,97,143,108,81,22,2190,39,78,7,21,2,6,5,9
17,12110,2021-01-02 23:00:00,188,112,174,188,141,21,2019,33,65,13,39,1,3,9,17
18,12111,2021-01-02 23:00:00,253,176,301,253,203,31,3056,40,80,30,88,2,5,8,16
19,12112,2021-01-02 23:00:00,152,126,202,152,116,25,2422,55,109,12,34,3,7,8,16
20,12113,2021-01-02 23:00:00,189,119,188,189,142,28,2799,28,56,11,32,5,14,10,19
21,12114,2021-01-02 23:00:00,215,159,267,215,165,27,2631,39,78,22,65,2,4,8,15
22,12115,2021-01-02 23:00:00,129,108,165,129,98,19,1839,32,64,10,28,3,8,9,17
23,12116,2021-01-02 23:00:00,205,183,315,205,155,26,2532,39,78,1,2,2,4,4,7
24,12117,2021-01-02 23:00:00,114,79,107,114,86,20,1926,27,54,6,17,2,4,13,25
25,12118,2021-01-02 23:00:00,123,90,129,123,93,,,31,61,7,20,,,,
26,12119,2021-01-02 23:00:00,213,172,293,213,163,,,41,81,15,43,,,,
27,12120,2021-01-02 23:00:00,137,94,137,137,104,,,32,63,8,24,,,,
28,12151,2021-01-02 23:00:00,0,,,,,,,,,,,,,,
29,12152,2021-01-02 23:00:00,148,106,161,148,113,18,1709,42,83,7,21,4,10,11,21
30,12153,2021-01-02 23:00:00,152,104,158,152,116,20,1993,35,70,11,32,2,4,4,8
31,12154,2021-01-02 23:00:00,159,121,191,159,121,19,1830,22,44,8,23,2,4,4,8
32,12155,2021-01-02 23:00:00,0,,,,,,,,,,,,,,
33,12492,2021-01-02 23:00:00,133,122,193,133,101,17,1684,40,80,17,51,2,5,4,8
34,12493,2021-01-02 23:00:00,0,,,,,,,,,,,,,,
35,12494,2021-01-02 23:00:00,249,197,344,249,199,38,3738,35,70,21,63,4,10,8,15
36,12495,2021-01-02 23:00:00,98,77,103,98,73,16,1585,37,74,5,15,2,6,6,11
37,12572,2021-01-02 23:00:00,85,73,95,85,63,16,1534,30,60,3,9,3,8,5,10
38,12573,2021-01-02 23:00:00,89,81,111,89,66,17,1624,41,81,12,36,5,14,9,17
39,12574,2021-01-02 23:00:00,196,120,190,196,147,19,1887,41,82,13,37,2,5,10,19
40,12575,2021-01-02 23:00:00,179,120,189,179,135,17,1699,39,78,11,33,1,3,5,10
41,12576,2021-01-02 23:00:00,160,101,152,160,122,14,1333,36,72,15,43,2,5,8,15
42,12577,2021-01-02 23:00:00,155,92,133,155,118,15,1440,34,68,11,33,3,8,8,16
43,12578,2021-01-02 23:00:00,155,114,178,155,118,17,1683,37,74,12,36,1,2,6,11
44,12579,2021-01-02 23:00:00,149,115,179,149,114,16,1546,40,80,13,38,4,10,10,20
45,12672,2021-01-02 23:00:00,110,95,140,110,83,13,1239,35,70,7,20,1,3,3,6
46,12792,2021-01-02 23:00:00,123,113,176,123,93,19,1842,43,86,21,62,3,8,6,12
47,13271,2021-01-02 23:00:00,102,79,107,102,76,21,2033,32,63,6,16,3,8,13,25
48,13272,2021-01-02 23:00:00,226,151,251,226,176,26,2541,35,69,11,33,2,5,5,10
49,13273,2021-01-02 23:00:00,175,109,167,175,132,17,1673,30,59,7,20,2,5,5,9
50,13274,2021-01-02 23:00:00,127,99,148,127,96,15,1408,30,59,7,21,3,8,9,18
51,13275,2021-01-02 23:00:00,233,159,267,233,183,21,2005,30,60,14,41,1,2,6,12
52,13276,2021-01-02 23:00:00,90,68,85,90,67,9,877,23,46,10,30,11,34,22,43
53,13277,2021-01-02 23:00:00,142,95,140,142,108,28,2731,38,75,12,34,1,3,5,9
54,13278,2021-01-02 23:00:00,140,101,151,140,107,17,1641,34,67,6,17,1,3,7,13
55,15040,2021-01-02 23:00:00,127,100,150,127,96,22,2131,43,86,28,82,2,5,3,6
56,15041,2021-01-02 23:00:00,87,79,107,87,64,18,1726,44,88,12,35,3,8,6,12
57,15042,2021-01-02 23:00:00,138,115,179,138,105,21,2061,46,92,26,76,1,3,3,5
58,15043,2021-01-02 23:00:00,119,91,132,119,90,20,1917,46,92,24,71,4,11,6,11
59,15044,2021-01-02 23:00:00,98,86,121,98,73,15,1440,39,78,6,18,2,6,5,9
60,15045,2021-01-02 23:00:00,130,105,159,130,99,21,2088,46,91,28,84,3,8,5,9
61,15046,2021-01-02 23:00:00,127,109,168,127,96,21,2012,42,84,27,80,3,8,5,9
62,15047,2021-01-02 23:00:00,102,97,144,102,76,21,2069,43,85,27,81,3,9,4,8
63,15048,2021-01-02 23:00:00,109,94,138,109,82,19,1815,49,98,24,72,3,9,5,9
64,15049,2021-01-02 23:00:00,97,79,107,97,72,20,1950,44,87,13,37,2,4,3,5
65,15050,2021-01-02 23:00:00,104,88,125,104,78,20,1907,51,102,24,70,2,6,3,6
66,15055,2021-01-02 23:00:00,135,89,128,135,103,27,2618,33,65,20,58,4,12,6,11
67,15056,2021-01-02 23:00:00,127,78,105,127,96,30,2904,24,48,29,87,5,13,13,26
68,15057,2021-01-02 23:00:00,100,73,95,100,75,22,2177,30,59,21,63,3,8,5,9
69,15058,2021-01-02 23:00:00,105,92,134,105,79,21,2028,52,104,26,78,3,7,4,8
70,15059,2021-01-02 23:00:00,128,101,152,128,97,19,1810,47,93,26,76,4,11,6,11
71,15060,2021-01-02 23:00:00,125,86,122,125,95,17,1676,45,89,23,67,3,9,4,8
72,15061,2021-01-02 23:00:00,118,101,151,118,89,18,1777,51,102,24,72,2,5,3,5
73,15062,2021-01-02 23:00:00,139,110,170,139,106,19,1879,47,93,27,80,3,7,4,8
74,15063,2021-01-02 23:00:00,145,112,173,145,111,20,1969,45,89,27,81,4,10,6,11
75,15064,2021-01-02 23:00:00,129,113,176,129,98,23,2236,47,94,29,85,3,8,4,8
76,15065,2021-01-02 23:00:00,112,84,117,112,84,24,2313,40,79,11,32,3,9,5,9
77,15066,2021-01-02 23:00:00,115,80,109,115,87,13,1255,41,82,6,18,3,8,11,21
78,15067,2021-01-02 23:00:00,113,87,123,113,85,24,2320,46,91,25,75,2,5,3,6
79,15068,2021-01-02 23:00:00,169,124,197,169,128,24,2400,43,85,22,66,3,8,5,9
80,15069,2021-01-02 23:00:00,103,79,108,103,77,18,1706,33,65,11,31,2,5,3,6
81,15070,2021-01-02 23:00:00,119,96,142,119,90,19,1801,36,72,23,68,2,5,3,6
82,15071,2021-01-02 23:00:00,148,134,217,148,113,20,1976,34,68,19,56,2,6,4,7
83,15072,2021-01-02 23:00:00,119,109,168,119,90,21,2028,46,92,26,76,2,4,2,4
84,15073,2021-01-02 23:00:00,125,119,187,125,95,21,2023,47,93,28,83,2,4,2,4
85,15074,2021-01-02 23:00:00,132,113,176,132,100,20,1945,46,91,26,76,2,4,3,5
86,15075,2021-01-02 23:00:00,129,108,165,129,98,22,2118,49,97,24,72,1,3,2,3
87,15076,2021-01-02 23:00:00,123,111,172,123,93,18,1744,45,89,27,81,2,5,3,5
88,15077,2021-01-02 23:00:00,138,103,155,138,105,20,1992,45,89,24,71,2,6,4,8
89,15078,2021-01-02 23:00:00,127,114,177,127,96,19,1854,48,96,29,87,2,5,3,6
90,15079,2021-01-02 23:00:00,138,119,188,138,105,20,1976,49,98,21,62,2,4,3,6
91,15080,2021-01-02 23:00:00,139,109,168,139,106,20,1967,46,91,27,81,1,2,2,4
92,15081,2021-01-02 23:00:00,148,108,165,148,113,21,2020,42,84,18,54,2,4,4,7
93,15082,2021-01-02 23:00:00,129,105,159,129,98,20,1940,43,86,16,47,2,5,4,7
94,15083,2021-01-02 23:00:00,149,119,188,149,114,21,2063,45,90,25,75,2,5,4,7
95,15084,2021-01-02 23:00:00,113,103,156,113,85,21,2055,51,102,30,90,3,8,4,8
96,15085,2021-01-02 23:00:00,119,119,187,113,85,20,1968,42,84,31,92,3,7,4,7
97,15086,2021-01-02 23:00:00,125,114,177,125,95,21,2054,47,93,27,80,3,8,5,9
98,15087,2021-01-02 23:00:00,123,123,195,114,86,24,2350,48,95,35,105,3,9,5,10
99,15088,2021-01-02 23:00:00,130,108,166,130,99,21,2066,46,91,25,74,2,5,3,5
100,15089,2021-01-02 23:00:00,118,108,166,118,89,21,2044,46,91,33,97,2,6,4,7
101,15090,2021-01-02 23:00:00,138,116,182,138,105,17,1696,47,93,24,72,2,6,4,7
102,15091,2021-01-02 23:00:00,128,111,171,128,97,17,1636,41,81,24,70,3,8,5,10
103,15095,2021-01-02 23:00:00,122,105,160,122,92,21,2050,46,92,26,76,4,11,6,11
104,15096,2021-01-02 23:00:00,0,,,,,,,,,,,,,,
105,15097,2021-01-02 23:00:00,142,119,188,142,108,23,2210,45,90,22,65,3,9,5,10
106,15098,2021-01-02 23:00:00,114,101,152,114,86,18,1707,45,89,17,50,2,6,4,8
107,15099,2021-01-02 23:00:00,162,102,154,162,123,18,1739,38,76,14,42,4,12,8,15
108,15100,2021-01-02 23:00:00,114,100,150,114,86,24,2309,43,86,27,79,2,4,3,5
109,15101,2021-01-02 23:00:00,133,117,184,133,101,26,2513,50,100,25,73,3,8,4,8
110,15102,2021-01-02 23:00:00,140,120,189,140,107,25,2496,47,93,24,71,2,6,4,7
111,15103,2021-01-02 23:00:00,139,110,169,139,106,24,2304,43,85,25,74,1,2,2,3
112,15104,2021-01-02 23:00:00,155,112,174,155,118,25,2453,47,94,27,81,2,5,3,6
113,15105,2021-01-02 23:00:00,98,79,108,98,73,20,1918,35,69,6,17,3,7,5,9
114,15106,2021-01-02 23:00:00,143,114,177,143,109,27,2664,45,89,36,108,2,6,3,6
115,15107,2021-01-02 23:00:00,166,119,188,166,126,28,2768,47,93,36,106,3,7,5,9
116,15108,2021-01-02 23:00:00,170,123,195,170,129,23,2275,44,87,23,68,5,16,10,20
117,15109,2021-01-02 23:00:00,169,167,283,169,128,14,1373,49,97,31,92,3,8,5,9
118,15110,2021-01-02 23:00:00,123,86,121,123,93,8,730,27,54,5,13,7,21,16,32
119,15111,2021-01-02 23:00:00,186,105,160,186,140,11,1032,35,70,17,50,2,6,6,12
120,15112,2021-01-02 23:00:00,123,85,120,123,93,8,783,23,46,4,12,9,27,14,27
121,15113,2021-01-02 23:00:00,132,99,147,132,100,13,1208,33,66,9,25,3,7,10,20
122,15114,2021-01-02 23:00:00,155,103,156,155,118,9,851,42,84,23,69,5,14,15,29
123,15115,2021-01-02 23:00:00,129,96,141,129,98,8,732,30,60,6,16,3,8,11,21
124,15116,2021-01-02 23:00:00,205,138,226,205,155,18,1718,35,70,17,50,2,5,5,10
125,15117,2021-01-02 23:00:00,128,100,150,128,97,24,2336,39,77,10,30,3,7,6,11
126,15118,2021-01-02 23:00:00,0,,,,,,,,,,,,,5,9
127,15119,2021-01-02 23:00:00,135,116,182,135,103,25,2414,37,74,28,83,2,6,5,10
128,15120,2021-01-02 23:00:00,79,79,107,79,58,13,1281,31,61,7,20,2,5,4,8
129,15121,2021-01-02 23:00:00,129,96,142,129,98,23,2224,37,74,17,49,3,7,4,8
130,15122,2021-01-02 23:00:00,163,127,204,163,124,32,3186,40,79,29,86,5,16,10,20
131,15129,2021-01-02 23:00:00,129,107,164,129,98,27,2650,29,58,20,59,4,10,5,10
132,15130,2021-01-02 23:00:00,125,104,158,125,95,21,2003,42,83,14,41,2,6,4,8
133,15131,2021-01-02 23:00:00,147,133,216,147,112,14,1344,53,105,21,63,2,5,4,8
134,15132,2021-01-02 23:00:00,104,80,109,104,78,15,1448,35,70,9,25,4,11,10,20
135,15133,2021-01-02 23:00:00,120,96,142,120,91,21,2058,30,60,21,63,3,9,6,11
136,15134,2021-01-02 23:00:00,124,95,139,124,94,14,1348,21,42,10,30,7,20,10,19
137,15135,2021-01-02 23:00:00,189,154,258,189,142,28,2767,33,65,33,97,3,9,7,13
138,15136,2021-01-02 23:00:00,200,135,220,200,150,31,3076,45,90,22,66,2,4,8,15
139,15137,2021-01-02 23:00:00,180,114,178,180,136,17,1649,39,77,15,45,1,2,6,11
140,15138,2021-01-02 23:00:00,148,112,173,148,113,25,2424,47,94,13,38,2,5,8,16
141,15139,2021-01-02 23:00:00,210,141,232,210,160,26,2599,42,84,38,112,2,6,6,12
142,15140,2021-01-02 23:00:00,193,150,250,193,145,15,1456,42,83,10,29,1,1,4,8
143,15141,2021-01-02 23:00:00,137,98,145,137,104,12,1126,31,62,4,12,1,2,7,14
144,15142,2021-01-02 23:00:00,169,123,195,169,128,17,1655,26,52,5,14,2,5,6,12
