,strAQI,strAreaCode,strAreaName,strHourAvg,strItemCode,strItemName,strLatitude,strLevel,strLongitued,strPCode,strPName,strPollutants,strRemark,strSTA,strStCode,strStName,strSubID,strValueAvg
0,,370100,济南市,34,350,湿度,36.4325,,117.223056,,跑马岭,,,,,济南,371,34
1,,370100,济南市,--,350,湿度,36.0749471,,117.84471265,,莱钢,,,,,济南,12118,--
2,,370100,济南市,--,350,湿度,36.22928774,,117.62983621,,泰钢,,,,,济南,12119,--
3,,370100,济南市,--,350,湿度,36.31662461,,117.54833548,,九羊,,,,,济南,12120,--
4,,370100,济南市,48,350,湿度,36.863622,,117.579886,,滨州临界点,,,,,济南,12494,48
5,,370100,济南市,28,350,湿度,36.7036,,117.1675,,炼油厂,,,,,济南,18020,28
6,,370102,历下区,30,350,湿度,36.669175,,117.062278,,市监测站,,,,,历下区,2,30
7,,370102,历下区,35,350,湿度,36.643056,,117.078889,,经济学院,,,,,历下区,364,35
8,,370102,历下区,36,350,湿度,36.66769,,117.032885,,泉城广场,,,,,历下区,368,36
9,,370102,历下区,--,350,湿度,36.635234,,117.129978,,锦屏中学,,,,,历下区,12493,0
10,,370102,历下区,34,350,湿度,36.647143,,117.039189,,市博物馆,,,,,历下区,12495,34
11,,370102,历下区,33,350,湿度,36.661408,,117.126148,,奥体中心,,,,,历下区,12572,33
12,,370102,历下区,36,350,湿度,36.670991,,117.043321,,解放路街道办事处,,,,,历下区,15040,36
13,,370102,历下区,31,350,湿度,36.64878925,,117.04663477,,千佛山街道办事处,,,,,历下区,15041,31
14,,370102,历下区,34,350,湿度,36.67258448,,117.02684762,,泉城路街道办事处,,,,,历下区,15042,34
15,,370102,历下区,36,350,湿度,36.665904,,117.055854,,文化东路街道办事处,,,,,历下区,15043,36
16,,370102,历下区,36,350,湿度,36.67221954,,117.17439564,,智远街道办事处,,,,,历下区,15044,36
17,,370102,历下区,37,350,湿度,36.67647488,,117.03935174,,大明湖街道办事处,,,,,历下区,15045,37
18,,370102,历下区,36,350,湿度,36.68296619,,117.0454868,,东关街道办事处,,,,,历下区,15046,36
19,,370102,历下区,36,350,湿度,36.6651471,,117.07260694,,甸柳街道办事处,,,,,历下区,15047,36
20,,370102,历下区,35,350,湿度,36.66275051,,117.0656443,,燕山街道办事处,,,,,历下区,15048,35
21,,370103,市中区,32,350,湿度,36.6116,,116.9966,,科干所,,,,,市中区,5,32
22,,370103,市中区,29,350,湿度,36.6021,,117.033,,山东鲁能,,,,,市中区,363,29
23,,370103,市中区,36,350,湿度,36.632684,,117.023287,,舜玉路街道办事处,,,,,市中区,15049,36
24,,370103,市中区,38,350,湿度,36.6288187,,117.00777738,,六里山街道办事处,,,,,市中区,15050,38
25,,370103,市中区,34,350,湿度,36.631922,,116.991987,,七里山街道办事处,,,,,市中区,15058,34
26,,370103,市中区,34,350,湿度,36.64588774,,117.00005665,,二七新村街道办事处,,,,,市中区,15059,34
27,,370103,市中区,35,350,湿度,36.649811,,117.004052,,四里村街道办事处,,,,,市中区,15060,35
28,,370103,市中区,35,350,湿度,36.65786652,,116.99570062,,杆石桥街道办事处,,,,,市中区,15061,35
29,,370103,市中区,36,350,湿度,36.66683602,,117.00470463,,大观园街道办事处,,,,,市中区,15062,36
30,,370103,市中区,35,350,湿度,36.673423,,117.009875,,魏家庄街道办事处,,,,,市中区,15063,35
31,,370103,市中区,33,350,湿度,36.6687319,,117.0208721,,泺源街道办事处,,,,,市中区,15064,33
32,,370103,市中区,36,350,湿度,36.63374801,,116.96858827,,王官庄街道办事处,,,,,市中区,15065,36
33,,370103,市中区,38,350,湿度,36.636859,,117.043703,,舜耕街道办事处,,,,,市中区,15066,38
34,,370103,市中区,34,350,湿度,36.622954,,116.990294,,七贤街道办事处,,,,,市中区,15067,34
35,,370103,市中区,38,350,湿度,36.635617,,116.939921,,白马山街道办事处,,,,,市中区,15068,38
36,,370103,市中区,31,350,湿度,36.609285,,117.050718,,兴隆街道办事处,,,,,市中区,15069,31
37,,370103,市中区,36,350,湿度,36.589588,,116.904986,,党家街道办事处,,,,,市中区,15070,36
38,,370103,市中区,38,350,湿度,36.616245,,116.899421,,陡沟街道办事处,,,,,市中区,15071,38
39,,370104,槐荫区,38,350,湿度,36.65027319,,116.96164495,,机床二厂,,,,,槐荫区,4,38
40,,370104,槐荫区,35,350,湿度,36.670495,,116.948783,,农科所,,,,,槐荫区,7,35
41,,370104,槐荫区,36,350,湿度,36.735707,,116.873492,,黄河河务局,,,,,槐荫区,12492,36
42,,370104,槐荫区,34,350,湿度,36.649363,,116.829248,,济南西城区,,,,,槐荫区,12792,34
43,,370104,槐荫区,42,350,湿度,36.65370648,,116.98156177,,振兴街街道办事处,,,,,槐荫区,15072,42
44,,370104,槐荫区,40,350,湿度,36.67027725,,116.99283308,,五里沟街道办事处,,,,,槐荫区,15073,40
45,,370104,槐荫区,34,350,湿度,36.65875648,,116.99076177,,青年公园街道办事处,,,,,槐荫区,15074,34
46,,370104,槐荫区,34,350,湿度,36.66332901,,116.97354641,,中大槐树街道办事处,,,,,槐荫区,15075,34
47,,370104,槐荫区,36,350,湿度,36.65844901,,116.97695892,,道德街街道办事处,,,,,槐荫区,15076,36
48,,370104,槐荫区,32,350,湿度,36.65165009,,116.96405492,,营市街街道办事处,,,,,槐荫区,15077,32
49,,370104,槐荫区,34,350,湿度,36.66293421,,116.98224324,,西市场街道办事处,,,,,槐荫区,15078,34
50,,370104,槐荫区,36,350,湿度,36.648754,,116.905825,,张庄路街道办事处,,,,,槐荫区,15079,36
