,AirCOId,AirCOName,AirNO2Id,AirNO2Name,AirO3_1Id,AirO3_1Name,AirO3_8Id,AirO3_8Name,AirPM10Id,AirPM10Name,AirPM2_5Id,AirPM2_5Name,AirSO2Id,AirSO2Name,COIaqi,COvalue,KZJB,Level,MAXAQI,NO2Iaqi,NO2value,O3_1Iaqi,O3_1value,O3_8Iaqi,O3_8value,PM10Iaqi,PM10value,PM2_5Iaqi,PM2_5value,Proposal,SO2Iaqi,SO2value,SubID,c0003_stcode,c0003_stname,pName,streetown,time
21,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,11,1085,街镇,,151,40,80,30,94,100,159,151,251,145,111,,11,33,12114,370116,莱芜区,高庄街道办事处,高庄街道办事处,/Date(1603706400000+0800)/
22,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,29,2887,街镇,,459,95,190,3,9,70,124,459,559,234,184,,19,57,12115,370117,钢城区,里辛街道办事处,里辛街道办事处,/Date(1603706400000+0800)/
23,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,16,1545,街镇,,183,54,107,10,30,80,136,183,316,159,121,,6,17,12116,370117,钢城区,颜庄街道办事处,颜庄街道办事处,/Date(1603706400000+0800)/
24,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,8,761,街镇,,108,17,33,47,148,116,177,89,127,108,81,,7,19,12117,370116,莱芜区,雪野街道办事处,雪野街道办事处,/Date(1603706400000+0800)/
25,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,,,市控,,134,47,93,,,,,134,218,132,100,,5,13,12118,370100,济南,莱钢,,/Date(1603706400000+0800)/
26,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,,,市控,,129,65,130,,,,,129,207,129,98,,6,18,12119,370100,济南,泰钢,,/Date(1603706400000+0800)/
27,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,,,市控,,172,23,45,,,,,125,200,172,130,,7,20,12120,370100,济南,九羊,,/Date(1603706400000+0800)/
28,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,,,"省控,市控",,0,,,,,,,,,,,,,,12151,370119,莱芜高新区,新一中,,/Date(1603706400000+0800)/
29,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,10,952,"省控,市控,街镇",,105,35,69,45,142,122,184,105,160,104,78,,6,17,12152,370117,钢城区,钢城区环保局,艾山街道办事处,/Date(1603706400000+0800)/
30,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,19,1808,"国控,省控,市控",,122,59,118,18,57,91,149,103,155,122,92,,8,24,12153,370116,莱芜区,莱芜战役纪念馆,,/Date(1603706400000+0800)/
