,Area_code,Area_name,Enterprise_name,Latitude,Longitude,Pname,Stcode,Stname,Substation_id
0,370100,济南,跑马岭,36.4325,117.223056,跑马岭,370100,济南,371
1,370100,济南,莱钢,36.0749471,117.84471265,莱钢,370100,济南,12118
2,370100,济南,泰钢,36.22928774,117.62983621,泰钢,370100,济南,12119
3,370100,济南,九羊,36.31662461,117.54833548,九羊,370100,济南,12120
4,370100,济南,滨州临界点,36.863622,117.579886,滨州临界点,370100,济南,12494
5,370100,济南,炼油厂,36.7036,117.1675,炼油厂,370100,济南,18020
6,370102,历下区,市监测站,36.669175,117.062278,市监测站,370102,历下区,2
7,370102,历下区,经济学院,36.643056,117.078889,经济学院,370102,历下区,364
8,370102,历下区,泉城广场,36.66769,117.032885,泉城广场,370102,历下区,368
9,370102,历下区,锦屏中学,36.635234,117.129978,锦屏中学,370102,历下区,12493
10,370102,历下区,市博物馆,36.647143,117.039189,市博物馆,370102,历下区,12495
11,370102,历下区,奥体中心,36.661408,117.126148,奥体中心,370102,历下区,12572
12,370102,历下区,解放路街道办事处,36.670991,117.043321,解放路街道办事处,370102,历下区,15040
13,370102,历下区,千佛山街道办事处,36.64878925,117.04663477,千佛山街道办事处,370102,历下区,15041
14,370102,历下区,泉城路街道办事处,36.67258448,117.02684762,泉城路街道办事处,370102,历下区,15042
15,370102,历下区,文化东路街道办事处,36.665904,117.055854,文化东路街道办事处,370102,历下区,15043
16,370102,历下区,智远街道办事处,36.67221954,117.17439564,智远街道办事处,370102,历下区,15044
17,370102,历下区,大明湖街道办事处,36.67647488,117.03935174,大明湖街道办事处,370102,历下区,15045
18,370102,历下区,东关街道办事处,36.68296619,117.0454868,东关街道办事处,370102,历下区,15046
19,370102,历下区,甸柳街道办事处,36.6651471,117.07260694,甸柳街道办事处,370102,历下区,15047
20,370102,历下区,燕山街道办事处,36.66275051,117.0656443,燕山街道办事处,370102,历下区,15048
21,370103,市中区,科干所,36.6116,116.9966,科干所,370103,市中区,5
22,370103,市中区,山东鲁能,36.6021,117.033,山东鲁能,370103,市中区,363
23,370103,市中区,舜玉路街道办事处,36.632684,117.023287,舜玉路街道办事处,370103,市中区,15049
24,370103,市中区,六里山街道办事处,36.6288187,117.00777738,六里山街道办事处,370103,市中区,15050
25,370103,市中区,七里山街道办事处,36.631922,116.991987,七里山街道办事处,370103,市中区,15058
26,370103,市中区,二七新村街道办事处,36.64588774,117.00005665,二七新村街道办事处,370103,市中区,15059
27,370103,市中区,四里村街道办事处,36.649811,117.004052,四里村街道办事处,370103,市中区,15060
28,370103,市中区,杆石桥街道办事处,36.65786652,116.99570062,杆石桥街道办事处,370103,市中区,15061
29,370103,市中区,大观园街道办事处,36.66683602,117.00470463,大观园街道办事处,370103,市中区,15062
30,370103,市中区,魏家庄街道办事处,36.673423,117.009875,魏家庄街道办事处,370103,市中区,15063
31,370103,市中区,泺源街道办事处,36.6687319,117.0208721,泺源街道办事处,370103,市中区,15064
32,370103,市中区,王官庄街道办事处,36.63374801,116.96858827,王官庄街道办事处,370103,市中区,15065
33,370103,市中区,舜耕街道办事处,36.636859,117.043703,舜耕街道办事处,370103,市中区,15066
34,370103,市中区,七贤街道办事处,36.622954,116.990294,七贤街道办事处,370103,市中区,15067
35,370103,市中区,白马山街道办事处,36.635617,116.939921,白马山街道办事处,370103,市中区,15068
36,370103,市中区,兴隆街道办事处,36.609285,117.050718,兴隆街道办事处,370103,市中区,15069
37,370103,市中区,党家街道办事处,36.589588,116.904986,党家街道办事处,370103,市中区,15070
38,370103,市中区,陡沟街道办事处,36.616245,116.899421,陡沟街道办事处,370103,市中区,15071
39,370104,槐荫区,机床二厂,36.65027319,116.96164495,机床二厂,370104,槐荫区,4
40,370104,槐荫区,农科所,36.670495,116.948783,农科所,370104,槐荫区,7
41,370104,槐荫区,黄河河务局,36.735707,116.873492,黄河河务局,370104,槐荫区,12492
42,370104,槐荫区,济南西城区,36.649363,116.829248,济南西城区,370104,槐荫区,12792
43,370104,槐荫区,振兴街街道办事处,36.65370648,116.98156177,振兴街街道办事处,370104,槐荫区,15072
44,370104,槐荫区,五里沟街道办事处,36.67027725,116.99283308,五里沟街道办事处,370104,槐荫区,15073
45,370104,槐荫区,青年公园街道办事处,36.65875648,116.99076177,青年公园街道办事处,370104,槐荫区,15074
46,370104,槐荫区,中大槐树街道办事处,36.66332901,116.97354641,中大槐树街道办事处,370104,槐荫区,15075
47,370104,槐荫区,道德街街道办事处,36.65844901,116.97695892,道德街街道办事处,370104,槐荫区,15076
48,370104,槐荫区,营市街街道办事处,36.65165009,116.96405492,营市街街道办事处,370104,槐荫区,15077
49,370104,槐荫区,西市场街道办事处,36.66293421,116.98224324,西市场街道办事处,370104,槐荫区,15078
50,370104,槐荫区,张庄路街道办事处,36.648754,116.905825,张庄路街道办事处,370104,槐荫区,15079
51,370104,槐荫区,段店北路街道办事处,36.660141,116.946764,段店北路街道办事处,370104,槐荫区,15080
52,370104,槐荫区,美里湖街道办事处,36.73305,116.881169,美里湖街道办事处,370104,槐荫区,15081
53,370104,槐荫区,兴福街道办事处,36.692425,116.907712,兴福街道办事处,370104,槐荫区,15082
54,370104,槐荫区,腊山街道办事处,36.643,116.8571,腊山街道办事处,370104,槐荫区,15083
55,370105,天桥区,济南四建,36.687944,116.992938,济南四建,370105,天桥区,1
56,370105,天桥区,北园街道,36.70195325,117.04475504,北园街道,370105,天桥区,362
57,370105,天桥区,制锦市街道办事处,36.674953,117.019232,制锦市街道办事处,370105,天桥区,15084
58,370105,天桥区,北坦街道办事处,36.682096,117.015558,北坦街道办事处,370105,天桥区,15085
59,370105,天桥区,纬北路街道办事处,36.681769,117.009895,纬北路街道办事处,370105,天桥区,15086
60,370105,天桥区,天桥东街道办事处,36.680732,117.004185,天桥东街道办事处,370105,天桥区,15087
61,370105,天桥区,官扎营街道办事处,36.68549,117.0046,官扎营街道办事处,370105,天桥区,15088
62,370105,天桥区,宝华街街道办事处,36.68121,116.9889,宝华街街道办事处,370105,天桥区,15089
63,370105,天桥区,堤口路街道办事处,36.688352,116.972126,堤口路街道办事处,370105,天桥区,15090
64,370105,天桥区,无影山街道办事处,36.696613,116.989603,无影山街道办事处,370105,天桥区,15091
65,370105,天桥区,工人新村北村街道办事处,36.702762,116.998061,工人新村北村街道办事处,370105,天桥区,15095
66,370105,天桥区,北园街道办事处,36.701272,117.044985,北园街道办事处,370105,天桥区,15096
67,370105,天桥区,泺口路街道办事处,36.70351,116.984448,泺口路街道办事处,370105,天桥区,15097
