,AirCOId,AirCOName,AirNO2Id,AirNO2Name,AirO3_1Id,AirO3_1Name,AirO3_8Id,AirO3_8Name,AirPM10Id,AirPM10Name,AirPM2_5Id,AirPM2_5Name,AirSO2Id,AirSO2Name,COIaqi,COvalue,KZJB,Level,MAXAQI,NO2Iaqi,NO2value,O3_1Iaqi,O3_1value,O3_8Iaqi,O3_8value,PM10Iaqi,PM10value,PM2_5Iaqi,PM2_5value,Proposal,SO2Iaqi,SO2value,SubID,c0003_stcode,c0003_stname,pName,streetown,time
0,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,35,3429,"国控,省控,市控",,448,32,64,3,9,4,8,426,526,448,422,,6,17,1,370105,天桥区,济南四建,,/Date(1609117200000+0800)/
1,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,40,3929,"国控,省控,市控,街镇",,435,41,81,2,6,3,6,358,466,435,402,,5,13,2,370102,历下区,市监测站,建筑新村街道办事处,/Date(1609117200000+0800)/
2,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,44,4388,"国控,省控,市控,街镇",,447,35,69,2,5,3,5,432,532,447,420,,4,12,3,370112,历城区,省种子仓库,洪家楼街道办事处,/Date(1609117200000+0800)/
3,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,,,"国控,省控,市控,街镇",,0,,,,,,,,,,,,,,4,370104,槐荫区,机床二厂,南辛庄街道办事处,/Date(1609117200000+0800)/
4,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,43,4280,"国控,省控,市控,街镇",,320,53,105,5,14,20,40,199,348,320,270,,10,29,5,370103,市中区,科干所,十六里河街道办事处,/Date(1609117200000+0800)/
5,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,48,4791,"国控,省控,市控,街镇",,392,43,86,2,6,11,22,289,412,392,342,,4,12,6,370114,高新区,开发区,舜华路街道办事处,/Date(1609117200000+0800)/
6,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,33,3262,"国控,省控,市控,街镇",,412,35,70,2,5,3,6,375,480,412,368,,7,20,7,370104,槐荫区,农科所,匡山街道办事处,/Date(1609117200000+0800)/
7,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,31,3059,"国控,省控,市控,街镇",,276,40,80,4,11,8,16,178,306,276,226,,8,24,8,370113,长清区,长清党校,文昌街道办事处,/Date(1609117200000+0800)/
8,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,,,"省控,市控",,0,,,,,,,,,,,,,,362,370105,天桥区,北园街道,,/Date(1609117200000+0800)/
9,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,40,3926,"省控,市控",,379,52,104,4,12,26,51,314,431,379,329,,8,22,363,370103,市中区,山东鲁能,,/Date(1609117200000+0800)/
