,AirCOId,AirCOName,AirNO2Id,AirNO2Name,AirO3_1Id,AirO3_1Name,AirO3_8Id,AirO3_8Name,AirPM10Id,AirPM10Name,AirPM2_5Id,AirPM2_5Name,AirSO2Id,AirSO2Name,COIaqi,COvalue,KZJB,Level,MAXAQI,NO2Iaqi,NO2value,O3_1Iaqi,O3_1value,O3_8Iaqi,O3_8value,PM10Iaqi,PM10value,PM2_5Iaqi,PM2_5value,Proposal,SO2Iaqi,SO2value,SubID,c0003_stcode,c0003_stname,pName,streetown,time
0,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,7,652,"国控,省控,市控",,122,25,49,13,40,10,20,122,194,104,78,,7,21,1,370105,天桥区,济南四建,,/Date(1604282400000+0800)/
1,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,12,1154,"国控,省控,市控,街镇",,122,27,54,14,43,9,18,122,194,99,74,,7,19,2,370102,历下区,市监测站,建筑新村街道办事处,/Date(1604282400000+0800)/
2,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,10,948,"国控,省控,市控,街镇",,125,26,51,15,45,8,15,125,200,103,77,,7,19,3,370112,历城区,省种子仓库,洪家楼街道办事处,/Date(1604282400000+0800)/
3,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,12,1101,"国控,省控,市控,街镇",,111,24,47,13,41,10,20,111,172,90,67,,7,20,4,370104,槐荫区,机床二厂,南辛庄街道办事处,/Date(1604282400000+0800)/
4,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,11,1100,"国控,省控,市控,街镇",,107,29,57,15,46,23,45,107,163,95,71,,8,24,5,370103,市中区,科干所,十六里河街道办事处,/Date(1604282400000+0800)/
5,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,,,"国控,省控,市控,街镇",,0,,,,,,,,,,,,,,6,370114,高新区,开发区,舜华路街道办事处,/Date(1604282400000+0800)/
6,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,8,782,"国控,省控,市控,街镇",,122,25,50,13,40,9,18,122,194,97,72,,7,20,7,370104,槐荫区,农科所,匡山街道办事处,/Date(1604282400000+0800)/
7,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,6,572,"国控,省控,市控,街镇",,127,16,32,15,48,11,21,127,204,102,76,,6,18,8,370113,长清区,长清党校,文昌街道办事处,/Date(1604282400000+0800)/
8,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,10,909,"省控,市控",,118,25,49,12,38,8,15,118,186,78,57,,7,19,362,370105,天桥区,北园街道,,/Date(1604282400000+0800)/
9,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,9,824,"省控,市控",,105,29,57,13,41,14,28,105,159,79,58,,7,21,363,370103,市中区,山东鲁能,,/Date(1604282400000+0800)/
10,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,10,965,"省控,市控,街镇",,102,27,54,15,46,33,66,102,154,85,63,,7,20,364,370102,历下区,经济学院,姚家街道办事处,/Date(1604282400000+0800)/
11,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,8,715,"省控,市控",,105,27,53,15,46,24,48,105,159,77,56,,6,18,365,370114,高新区,东城逸家小学,,/Date(1604282400000+0800)/
12,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,8,731,"省控,市控,街镇",,118,30,60,15,48,11,22,118,185,77,56,,7,20,366,370112,历城区,建工学院,港沟街道办事处,/Date(1604282400000+0800)/
13,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,9,822,"省控,市控,街镇",,110,25,50,13,39,8,15,110,170,95,71,,7,19,368,370102,历下区,泉城广场,趵突泉街道办事处,/Date(1604282400000+0800)/
14,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,6,595,"省控,市控",,64,11,21,22,68,38,75,64,78,38,26,,4,10,371,370100,济南,跑马岭,,/Date(1604282400000+0800)/
15,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,19,1865,"省控,市控,街镇",,124,26,52,19,60,20,39,124,197,94,70,,8,22,9929,370181,章丘区,东山小学,双山街道办事处,/Date(1604282400000+0800)/
16,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,15,1475,"省控,市控",,22,22,43,15,48,16,32,,,,,,8,24,9930,370181,章丘区,章丘开发区,,/Date(1604282400000+0800)/
17,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,17,1670,街镇,,246,18,36,21,67,8,15,170,290,246,196,,14,42,12110,370116,莱芜区,寨里镇,寨里镇,/Date(1604282400000+0800)/
18,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,21,2016,街镇,,233,23,45,17,52,5,9,160,270,233,183,,19,57,12111,370116,莱芜区,牛泉镇,牛泉镇,/Date(1604282400000+0800)/
19,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,34,3346,街镇,,206,38,75,17,52,6,11,171,292,206,156,,11,33,12112,370116,莱芜区,口镇街道办事处,口镇街道办事处,/Date(1604282400000+0800)/
20,106,一氧化碳,141,二氧化氮,108,臭氧,108,臭氧_8,107,PM10,601,PM2.5,101,二氧化硫,23,2229,街镇,,153,17,34,21,67,6,11,149,248,153,117,,,,12113,370116,莱芜区,苗山镇,苗山镇,/Date(1604282400000+0800)/
